"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"SILENCIADORES GRAN ESCAPE II S.R.L.";"";"Tel: (58) (244) 7110892";"Av. Branger Entre Michelena Y Peña, Valencia Estado Carabobo La Victoria, Venezuela";"Repuestos Para Motocicletas"
"REPUESTOS NUEVO MILENIUM WD, C.A.";"";"Tel: (58) (212) 5168819";"Av Villa Heróica La Mura, Guatire Guatire, Venezuela";"Repuestos Para Motocicletas"
"IDEAL INTERNACIONAL, C.A.";"";"Tel: (58) (244) 5426743";"Av. Carabobo, Local 57, Santa Risa, Maracay La Victoria, Venezuela";"Repuestos Para Motocicletas"
"TOP MOTOS C.A.";"";"Telefax: (58) (212) 3837150";"Carretera Panamericana Km. 21, Sector Corralite, Carrizal, Edo. Miranda Carrizal, Venezuela";"Repuestos Para Motocicletas"
"SPEED BIKES, C.A.";"";"Tel: (58) (241) 8593267";"Calle Comercio, Urb. San Blas Valencia, Venezuela";"Repuestos Para Motocicletas"
"AJS, C.A.";"";"Tel: (58) (212) 7618435";"Bello Monte, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTO REPUESTOS SUKIYAMA, C.A.";"";"Tel: (58) (212) 8606693";"Av Sucre, Nú 130, Catia, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"TROLEMOTO LA 16 C.A.";"";"Tel: (58) (274) 2623394";"Av. 16 de Septiembre, No.51-83 al lado de Los Blindados Mérida Mérida, Venezuela";"Repuestos Para Motocicletas"
"PAI WEIH MOTO REPUESTOS, C.A.";"";"Tel: (58) (244) 4328128";"Urb, Terrazas De Castillito C.C. Desarrollis Infra, Local N³9 Intercomunal San Diego (Diagonal A La Bomba Treból, Frente A La Antigua Alcaldia) La Victoria, Venezuela";"Repuestos Para Motocicletas"
"TALLER IMPERIAL";"";"Tel: (58) (247) 3413131";"Av Miranda, Casa De Zing San Fernando de Apure, Venezuela";"Repuestos Para Motocicletas"
"MOTO REPUESTOS OROVALOR P & G CENTER C.A.";"";"Tel: (58) (212) 3348666";"Av San Martín, Fte. Al Bloque De Armas Galería San Martín, Loc. 80-B., Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"CORPORACIÓN MOTO PIU, C.A.";"";"Tel: (58) (244) 3225854";"Cl Páez, Nro. 70 La Victoria, Venezuela";"Repuestos Para Motocicletas"
"MOTO MARIO CICCARELLI E HIJOS, C.A.";"";"Tel: (58) (243) 2324334";"Av Constitución Maracay, Venezuela";"Repuestos Para Motocicletas"
"MOTO SPORT";"";"Tel: (58) (243) 2695737";"C.C. Center, Loc 1 Av Intercomunal Maracay, Venezuela";"Repuestos Para Motocicletas"
"MOTO REPUESTO YIYO";"";"Tel: (58) (276) 3478562";"Cl.4, La Concordia San Cristóbal, Venezuela";"Repuestos Para Motocicletas"
"ERIKA CORPORACIÓN, C.A.";"";"Tel: (58) (212) 7310923";"L Campiña, Detras De Pdvsa Av El Mirador, Qta. Finita, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"REPUESTOS MOTO MARACAIBO, S.R.L.";"";"Tel: (58) (261) 7222037";"Calle 89, Bella Vista Maracaibo, Venezuela";"Repuestos Para Motocicletas"
"DISTRIBUIDORA YAMAZUKI, S.R.L.";"";"Tel: (58) (212) 6325003";"Av Ppal De Pdo. De María, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"CASA MOTOS";"";"Tel: (58) (276) 3464857";"La Concordia San Cristóbal San Cristóbal, Venezuela";"Repuestos Para Motocicletas"
"SGM INVERSIONES, C.A.";"";"Tel: (58) (274) 2512268";"Av.4 Entre Calle 31 y 32 Mérida, Venezuela";"Repuestos Para Motocicletas"
"MOTO SUPER MARKET C.A.";"";"Tel: (58) (212) 6329989";"Cll El Progreso Galpón Nú 17 Las Acacias, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"SCOOTER BIKE";"";"Tel: (58) (274) 2622436";"A 10 Mts. del Ambulatorio El Llano Av. 3 Independencia Mérida, Venezuela";"Repuestos Para Motocicletas"
"A.G. MOTO MOTION C.A.";"";"Tel: (58) (212) 2427440";"Calle 7, Edif. GE-11, P.B. La Urbina, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTOMAX 2 C.A.";"";"Tel: (58) (274) 2450094";"Sector La Milagrosa Local 416 Av. Los Próceres, la Milagrosa Mérida, Venezuela";"Repuestos Para Motocicletas"
"MOTO REPUESTOS Y ACCESORIOS WF 25, C.A.";"";"Tel: (58) (212) 5432649";"Cl Las Flores, San Agustín, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"DAKOTA, S.R.L.";"";"Tel: (58) (212) 5713449";"Av Este 0, Ed. Libertador, P.B., Lc 1 La Candelaria, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"ALBIMPORT, C.A.";"";"Telefax: (58) (212) 2356456";"Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTO ACCESORIOS CUSTOM";"";"Tel: (58) (212) 6143492";"Carretera Panamericana Km 20 C.C. Don Pedro Local Pb-L Corralito, Carrizal Carrizal, Venezuela";"Repuestos Para Motocicletas"
"MOTOPARTES, S.A. MOPASA";"";"Tel: (58) (212) 7932046";"Cl Oropeza Castillo Ed Ferma Sabana Grande, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTOREPUESTOS FRANDRES, C.A.";"";"Tel: (58) (244) 3964649";"Calle Boyaca Edif Gala L4 Cagua Cagua, Venezuela";"Repuestos Para Motocicletas"
"MOTO MOTORES FERRER, C.A.";"";"Tel: (58) (261) 7883376";"La Paz, Calle 98 Maracaibo, Venezuela";"Repuestos Para Motocicletas"
"MOTO BALOA";"";"Tel: (58) (212) 2719796";"Cl Federación, Petare, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTOFERCA";"";"Tel: (58) (241) 3616101";"Puerto Cabello, Centro Valencia, Venezuela";"Repuestos Para Motocicletas"
"PART'S MOTOS";"";"Tel: (58) (273) 5527052";"Av.Sucre, Calle Mérida cruce c/Apure, Loc.7-57 Barinas, Venezuela";"Repuestos Para Motocicletas"
"JOYERÍA Y RELOJERÍA CLOCK CENTER II, C.A.";"";"Tel: (58) (241) 8581359";"Av Constitución, Centro, Valencia Valencia, Venezuela";"Repuestos Para Relojería"
"REMACHES UNITOP FIJACIONES INDUSTRIALES TÉCNICAS C.A.";"";"Tel: (58) (212) 2571077";"Caracas Caracas, Venezuela";"Repuestos Para Relojería"
"ROLEX DE VENEZUELA, C.A.";"";"Tel: (58) (212) 9910666";"Torre Las Mercedes, Piso 5 Oficina 501, Chuao Caracas, Venezuela";"Repuestos Para Relojería"
"WATCH MARKET";"";"Tel: (58) (241) 8258404";"Centro Corporativo La Viña Plaza, Piso 9, Ofic. No.20 Av. Carabobo Con Av. Usler, Urb. La Viña, Valencia, Venezuela Valencia, Venezuela";"Repuestos Para Relojería"
"RELOJERÍA EL BRILLANTE II";"";"Tel: (58) (241) 8223454";"Calle 123, Santa Cecilia, Valencia Valencia, Venezuela";"Repuestos Para Relojería"
"CASIOMANIA";"";"Tel: (58) (281) 2657350";"Cl. Honduras Puerto de  la Cruz, Venezuela";"Repuestos Para Relojería"
"MIMA VARIEDADES, C.A.";"";"Tel: (58) (285) 6518730";"Av.Rotaria C.C. Imperial Ciudad Bolivar, Venezuela";"Repuestos Para Relojería"
"EQUIPOS DE AUTOMATIZACIÓN S.A";"";"Tel: (58) (212) 6615090";"Cl. La Facultad, Edif. Valenciana, Piso 1, Los Chaguaramos Caracas, Venezuela";"Repuestos Para Relojería"
"EL UNIVERSO DEL RELOJ, C.A.";"";"Tel: (58) (241) 8572262";"Al Lado Del Centro Comercial Valencia Plaza, Av Bolívar, Valencia Valencia, Venezuela";"Repuestos Para Relojería"
"POLLO EN BRASAS EL UNICO,S.R.L.";"";"Tel: (58) (241) 8323258";"Av.Michelena,Zona Ind Valencia, Venezuela";"Restaurantes Especializados En Pollos"
"INVERSIONES LA ELEGANZA, C.A.";"";"Tel: (58) (212) 3445822";"Av. Principal De Valle Arriba C.C. Daymar P.1 Lc. P2-44 Caracas, Venezuela";"Ropa De Etiqueta"
"ATELIER MAR ROSA, C.A.";"";"Tel: (58) (212) 2755713";"Cl. Carabobo, Centro Caracas, Venezuela";"Ropa De Etiqueta"
"SASTRERÍA SMOKING CENTER, C.A.";"";"Tel: (58) (243) 2475740";"A 20 Mts. C/Boyacá, Nú 67 Blvar Pérez Almarza, Maracay Maracay, Venezuela";"Ropa De Etiqueta"
"JULIO SASTRERIA SUCESORES";"";"Tel: (58) (212) 2655343";"Av. FcoDe Miranda Edf. Mar Mezz. 2 Ofc. 2, Al Lado De Inavi, Chacao Caracas, Venezuela";"Ropa De Etiqueta"
"ALQUIMODA";"";"Tel: (58) (241) 8237031";"C.c. Mediterránea Plaza, P.B. Local P-2-L11A, Valencia, Edo. Carabobo Valencia, Venezuela";"Ropa De Etiqueta"
"D' URSO ALTA COSTURA C.A.";"";"Tel: (58) (212) 2670372";"Chacao Caracas, Venezuela";"Ropa De Etiqueta"
"INVERSIONES IDARRAGA C.A.";"";"Tel: (58) (212) 5529323";"Av. Jose Angel Lamas, Qta Risueña, San Bernardino Caracas, Venezuela";"Ropa De Etiqueta"
"ALQUILER DE TRAJES YEMOHAN";"";"Tel: (58) (244) 6612303";"Cl Rivas, Turmero Turmero, Venezuela";"Ropa De Etiqueta"
"SASTRERÍA CAMORUCO, C.A.";"";"Tel: (58) (241) 8240512";"Av Bolívar Norte, C.C. Prof. Camoruco, Valencia Valencia, Venezuela";"Ropa De Etiqueta"
"VARIAZIONE";"";"Tel: (58) (212) 2049306";"Galeiras Alcalá Caracas, Venezuela";"Ropa De Etiqueta"
"SASTRERÍA TOVAR, S.R.L.";"";"Tel: (58) (241) 8582609";"Cl 117, Rojas Queipo, Valencia Valencia, Venezuela";"Ropa De Etiqueta"
"NOCHE DE NOCHES ATELIER";"";"Tel: (58) (212) 9754081";"Via Prados Del Este, C.C. Los Campitos, P.1 Lc. 202 Caracas, Venezuela";"Ropa De Etiqueta"
"ATELIER EL ROSAL";"";"Tel: (58) (212) 9534747";"El Rosal Caracas Caracas, Venezuela";"Ropa De Etiqueta"
"SASTRERÍA HISPANA, C.A.";"";"Tel: (58) (274) 2527515";"Av. 3, Centro Mérida, Venezuela";"Ropa De Etiqueta"
"INVERSIONES MARQUEZ ROMERO C.A.";"";"Tel: (58) (241) 8247128";"Av Bolívar Norte, Urb El Viñedo, C.C. Multicentro El Viñedo, Local C-111, Valencia - Edo. Carabobo Valencia, Venezuela";"Ropa De Etiqueta"
"ATELIER LAUREN";"";"Tel: (58) (212) 2851651";"Vda F De Mda, Los Palos Grandes Caracas, Venezuela";"Ropa De Etiqueta"
"LA GALA DEL SMOKING";"";"Tel: (58) (243) 2830684";"CI. Las Marias, El Limên Maracay, Venezuela";"Ropa De Etiqueta"
"VERSAGGE ELEGANCE";"";"Tel: (58) (212) 7303723";"La Florida Caracas, Venezuela";"Ropa De Etiqueta"
"SOL & LUNA, C.A.";"";"Tel: (58) (241) 8259631";"Av Bolívar Nte, Camoruco, Valencia Valencia, Venezuela";"Ropa De Etiqueta"
"VERSAGGE TRAJES EN ALQUILER, C.A.";"";"Telefax: (58) (212) 4714177";"Final 2da Av. Cl. 60 C.C. Euba Nivel 1 Moltalban Ii Caracas, Venezuela";"Ropa De Etiqueta"
"PACO STORE";"";"Tel: (58) (261) 7982527";"Av 13 Maracaibo, Venezuela";"Ropa De Etiqueta"
"CAMARGO'S ELEGANCE LA TAHONA";"";"Tel: (58) (212) 9435156";"C.C. La Tahona, Piso 1, Lc. 12, La Tahona Baruta, Fte A La Iglesia Del Op us Dei Caracas, Venezuela";"Ropa De Etiqueta"
"SASTRERIA FRANCISCO CAMARGO";"";"Tel: (58) (212) 2836532";"Av. Fco De Miranda, Parque Cristal, Lc. 24 Y 26, Los Palos Grandes Caracas, Venezuela";"Ropa De Etiqueta"
"EL PALACIO DE LA ETIQUETA";"";"Telefax: (58) (212) 2342866";"Av. Romulo Gallegos Edf. Andrade P.1 Lc.2, Lc. Los Dos Caminos (Al Lado D e Banesco) Caracas, Venezuela";"Ropa De Etiqueta"
"RAYAS";"";"Tel: (58) (276) 3441560";"7 Ma Avenida, Cl 11 San Cristóbal, Venezuela";"Ruanas"
"CALZADO SANTA NINFA C.A.";"";"Tel: (58) (212) 4715087";"Cl. 9-A De La Yaguara, Edif. Calzado Santa Ninfa Caracas, Venezuela Caracas, Venezuela";"Sandalias"
"INSTITUTO VENEZOLANO DE LOS SEGUROS SOCIALES HOSPITAL DR. DOMINGO GUZMAN LANDER";"";"Tel: (58) (281) 2861766";"Av. Intercomunal Andrés Bello, Sector Las Garzas Barcelona, Venezuela";"Seguros Sociales"
"PERGER GROUP, C.A.";"";"Tel: (58) (261) 7230596";"Calle 91 No 2B - 66 Maracaibo, Venezuela";"Sellos De Caucho"
"SUMIFLEX";"";"Telefax: (58) (295) 2670054";"Av. Bolívar con Aldonza Manrique, C.C. AB PB, Local 1A Porlamar, Venezuela";"Sellos De Caucho"
"PRONTO SELLO C.A.";"";"Tel: (58) (261) 7987581";"Av. 4 Bella Vista con Calle 91, Nú 2B - 92 Maracaibo, Venezuela";"Sellos De Caucho"
"TIPOGRAFIA Y LITOGRAFIA FOTOLITO RODRIGUEZ & TUDARES CA";"";"Tel: (58) (261) 7158606";"Calle 95 6-48 Paseo Ciencias Maracaibo, Venezuela";"Sellos De Caucho"
"IMPRESOS WILMAR";"";"Tel: (58) (274) 4161530";"Calle 24 Entre Av 6 y 7 Via Teleferico Mérida, Venezuela";"Sellos De Caucho"
"TIPOGRAFIA SAM MIGUEL";"";"Tel: (58) (276) 3431265";"Cl 13 E/Cr 15 y 16 N. 15-38 Barrio Obrero San Cristóbal, Venezuela";"Sellos De Caucho"
"NUEVAS GRAFICAS";"";"Telefax: (58) (261) 7873853";"Carrera 1 5-141 Via a Colon Maracaibo, Venezuela";"Sellos De Caucho"
"DISTRIBUIDORA NUBLYS C.A.";"";"Tel: (58) (261) 7232559";"Calle 88 Norte Av 8 y 9B No. 8-65 Frente Al deposito de Ferrelago Veritas Maracaibo, Venezuela";"Sellos De Caucho"
"TIPOGRAFIA Y LITOGRAFIA MODERNA";"";"Tel: (58) (275) 8810230";"Calle 14 Local 4-75 El Vigia El Vigía, Venezuela";"Sellos De Caucho"
"SELLOS PRINT, S.R.L.";"";"Tel: (58) (243) 2463082";"Frente A Mampa Av. Aragua, San Miguel Maracay, Venezuela";"Sellos De Caucho"
"SELLOMAT, C.A.";"";"Tel: (58) (243) 5530548";"Maracay Maracay, Venezuela";"Sellos De Caucho"
"PROSEVENCA";"";"Tel: (58) (261) 7630968";"Maracaibo Maracaibo, Venezuela";"Semillas"
"VIAS Y SEÑALES S.A.S.";"viasysenalessas@hotmail.com";"Cel.: (58) 3105081306";"Atiende en El Espinal desde su sede principal en Pereira El Espinal, Venezuela";"Señalización Vial"
"SEVIALCO C.A.";"";"Tel: (58) (249) 7430858";"Carretera Cortada del Guayabo Calle la Union 34 Miranda, Venezuela";"Señalización Vial"
"SERVICIOS CATERING VENEZUELA SECAVECA";"";"Tel: (58) (212) 2387315";"Boleita Caracas, Venezuela";"Servicio Catering"
"TRANSPRTE A.F. 1617 C.A.";"";"Tel: (58) (212) 3297356";"Carretera Petare Guarenas Sector San Isidro Caracas, Venezuela";"Servicio De Transporte"
"SERVIPS. C.A.";"";"Tel: (58) (212) 2857896";"Caracas Caracas, Venezuela";"Servicios De Alquiler"
"HERMANOS PACHECO AUTOS CLASICOS";"";"Tel: (58) (212) 2839884";"Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"CORPORACIÓN PULCRO C.A";"";"Tel: (58) (212) 2863189";"Av. 4ta Los Palos Grandes Caracas, Venezuela";"Servicios De Personal (Empleos)"
"ASESORES DE EMPLEO R. LORETO";"";"Tel: (58) (212) 8320261";"Av Internacional, Buenaventura Caracas, Venezuela";"Servicios De Personal (Empleos)"
"AGAR ESTETICA";"";"Tel: (58) (261) 7523056";"Sucre-Maracaibo Maracaibo, Venezuela";"Servicios De Personal (Empleos)"
"SESYSVE, C.A.";"";"Tel: (58) (286) 7480556";"C.C. Mami, Piso 2, Oficina 78, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Servicios De Personal (Empleos)"
"H,M CLEANERS C.A";"";"Tel: (58) (212) 5625810";"Av Este 5 De San Ramón A Canónigos, Edif.Salm, Sótano 1,Parroquia, Altagr acia, Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"CELTIC SECURITY, C.A.";"";"Telefax: (58) (212) 5418923";"Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"INRAYCA AGENCIA DE EMPLEO";"";"Tel: (58) (295) 2630475";"CI. Cedeño con Fermin Porlamar, Venezuela";"Servicios De Personal (Empleos)"
"SEPRISEV, C.A.";"";"Tel: (58) (276) 3561048";"Cl. 15, Barrio Obrero San Cristóbal, Venezuela";"Servicios De Personal (Empleos)"
"ASAP, C.A.";"";"Tel: (58) (212) 2867222";"AV. FRANCISCO DE MIRANDA, EDF. PARQUE CRISTAL, TORRE OESTE, PISO9 OFICINA 09-01 Caracas, Venezuela";"Servicios De Personal (Empleos)"
"INVERSIONES JACOB'S SECURITY, C.A.";"";"Tel: (58) (274) 3569032";"Calle 11 entre crre 24 y 25,Nú24-50, barrio Obrero Mérida, Venezuela";"Servicios De Personal (Empleos)"
"CONSTRUCTORA & MANTENIMIENTO V-U , C.A";"";"Tel: (58) (212) 7611277";"Av Casanova Sabana Grande Caracas, Venezuela";"Servicios De Personal (Empleos)"
"SEVILLANAS ACADEMIAS DE FLAMENCO";"";"Tel: (58) (212) 9854252";"Montalban I, Qta Naquico Av. Principal Del Cafetal Caracas, Venezuela";"Servicios De Personal (Empleos)"
"SERVICIOS DE SEGURIDAD INTEGRAL 2013, CA";"";"Tel: (58) (212) 5141814";"Av. Veracruz, Edif. Keope, Piso 1, Ofic.15-A, Las Mercedes Caracas, Venezuela";"Servicios De Personal (Empleos)"
"NOVEDADES ROEL, C.A.";"";"Tel: (58) (212) 5630818";"Av. Urdaneta Marrón A Pelota Edif. Groggo Pb. Caracas, Venezuela";"Servicios De Personal (Empleos)"
"SERVICLEAN 2000 C.A";"";"Tel: (58) (212) 9514101";"Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"33 ROLLS ROYCES";"";"Tel: (58) (212) 5241959";"Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"NEYDECA";"";"Tel: (58) (212) 9598111";"C.C.C.T Nv C-1 Centro Joyero(Mezzanina) Loc CM-10 Caracas, Venezuela";"Servicios De Personal (Empleos)"
"DIVISION DE SEGURIDAD INDUSTRIAL, C.A.DISEINCA";"";"Telefax: (58) (251) 2527043";"Cl. 11 E/Crs 24 y 25 Barquisimeto, Venezuela";"Servicios De Personal (Empleos)"
"YENNY FASHION INSITUTE, C.A.";"";"Tel: (58) (212) 2634275";"Chacao Caracas, Venezuela";"Servicios De Personal (Empleos)"
"LIMANTEC AG, C.A.";"";"Tel: (58) (244) 2354666";"Rio Blanco II Villa de Cura, Venezuela";"Servicios De Personal (Empleos)"
"ORGANIZACION J.M.O.M., C.A.";"";"Tel: (58) (212) 2423121";"Caracas Caracas, Venezuela";"Servicios De Personal (Empleos)"
"ISABELLITA`S PRODUCCION";"";"Tel: (58) (212) 7638859";"Blvard Sabana Grande Caracas, Venezuela";"Servicios De Personal (Empleos)"
"EVENTOS SEBASTIAN";"";"Tel: (58) (212) 7301368";"Cl. Garcia, La Florida Caracas, Venezuela";"Servicios De Personal (Empleos)"
"JIRALDYS MODEL INTERNACIONAL";"";"Tel: (58) (286) 9531334";"C.C San miguel II Nivel II Ciudad Guayana San Félix, Venezuela";"Servicios De Personal (Empleos)"
"SISTEL SECURITY";"";"Tel: (58) (274) 2662578";"Merida Mérida, Venezuela";"Servicios De Vigilancia"
"SERVICIOS DE SEGURIDAD INTEGRAL 2013, CA";"";"Tel: (58) (212) 5141814";"Av. Veracruz, Edif. Keope, Piso 1, Ofic.15-A, Las Mercedes Caracas, Venezuela";"Servicios De Vigilancia"
"DIVISION DE SEGURIDAD INDUSTRIAL, C.A.DISEINCA";"";"Telefax: (58) (251) 2527043";"Cl. 11 E/Crs 24 y 25 Barquisimeto, Venezuela";"Servicios De Vigilancia"
"INVERSIONES JACOB'S SECURITY, C.A.";"";"Tel: (58) (274) 3569032";"Calle 11 entre crre 24 y 25,Nú24-50, barrio Obrero Mérida, Venezuela";"Servicios De Vigilancia"
"SEPRISEV, C.A.";"";"Tel: (58) (276) 3561048";"Cl. 15, Barrio Obrero San Cristóbal, Venezuela";"Servicios De Vigilancia"
"CELTIC SECURITY, C.A.";"";"Telefax: (58) (212) 5418923";"Caracas Caracas, Venezuela";"Servicios De Vigilancia"
"SESYSVE, C.A.";"";"Tel: (58) (286) 7480556";"C.C. Mami, Piso 2, Oficina 78, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Servicios De Vigilancia"
"TECNOMEDICA";"gerencia@tecnomedicacolombia.";"Cel.: (58) 3147328626";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Servicios Medicos Especializados"
"KRULIG S., LEOPOLDO";"";"Tel: (58) (212) 5526177";"Av. Juan De Villegas, San Bernardino Piso 1, Consultorio 105 Centro Medic o Caracas San Bernardino Caracas, Venezuela";"Servicios Medicos Especializados"
"CASA DR. SCHOLL SAN MARTIN";"";"Tel: (58) (212) 4626821";"Av. Santander, San Martín Caracas, Venezuela";"Servicios Medicos Especializados"
"QUIROPEDIAS ALVAREZ";"";"Tel: (58) (212) 6625513";"Santa Mónica - Caracas Caracas, Venezuela";"Servicios Medicos Especializados"
"FARMACIA UNIVERSAL, S.R.L.";"";"Tel: (58) (273) 5526228";"Av m Jimenez Barinas, Venezuela";"Servicios Medicos Especializados"
"CASA DEL QUIROPEDISTA";"";"Tel: (58) (281) 2758409";"Av. Intercomunal, Cayaurima Barcelona, Venezuela";"Servicios Medicos Especializados"
"MEDIPIE QUIROPEDISTAS";"";"Tel: (58) (276) 7989898";"Av. Delicias San Cristóbal, Venezuela";"Servicios Medicos Especializados"
"LAGOPIE";"";"Tel: (58) (261) 7987343";"Av. 5 de Julio Maracaibo, Venezuela";"Servicios Medicos Especializados"
"PANCHANO, LUISA E. DRA";"";"Tel: (58) (212) 2839286";"Av. 3era, Los Palos Grandes Caracas, Venezuela";"Servicios Medicos Especializados"
"PRADO, AUREA";"";"Tel: (58) (251) 2328125";"Clínica Razetti, Torre Iii, Nú 19 Cr. 21 Esq. Calle 27 Barquisimeto, Venezuela";"Servicios Medicos Especializados"
"DELGADO, ELAING DRA.";"";"Tel: (58) (274) 2667815";"Ctro. Ccial. Plaza Las Americas Mérida, Venezuela";"Servicios Medicos Especializados"
"LIAMZA COMUNICACION HUMANA";"";"Tel: (58) (212) 2717941";"Av. Monaco, Qta Morocha , Consultorio 3 La California Caracas, Venezuela";"Servicios Medicos Especializados"
"CASANOVA, GERARDO DR.";"";"Tel: (58) (274) 2636218";"Av. Urdaneta Mérida, Venezuela";"Servicios Medicos Especializados"
"QUIROPEDIA MASCIA, C.A.";"";"Tel: (58) (212) 2315602";"Carrera 19, E/Cls 27 Y 28 Caracas, Venezuela";"Servicios Medicos Especializados"
"ZAMBRANO S, GISELA";"";"Tel: (58) (276) 3436189";"Santa Ines San Cristóbal, Venezuela";"Servicios Medicos Especializados"
"FARMACIA CASABLANCA";"";"Tel: (58) (281) 2814455";"Av Americo Vespucio Lecherías, Venezuela";"Servicios Medicos Especializados"
"PEREZ P, CARLOS L. DR.";"";"Tel: (58) (261) 7579295";"Plaza de Toros Maracaibo, Venezuela";"Servicios Medicos Especializados"
"SAYEGH CARREÑO, RICARDO DR";"";"Tel: (58) (212) 9458335";"C.M.D.I.T, La Trinidad Caracas, Venezuela";"Servicios Medicos Especializados"
"LOPEZ MARTIN, MARIA YOMAIRA DRA.";"";"Tel: (58) (241) 8241066";"Instituto Docente de Urología Consultorio Valencia, Venezuela";"Servicios Medicos Especializados"
"FARMACIA STAT MEDICAL, C.A.";"";"Telefax: (58) (281) 2697095";"Calle Cementerio, Puerto La Cruz Puerto de  la Cruz, Venezuela";"Servicios Medicos Especializados"
"TROCCOLI H, MARCOS";"";"Tel: (58) (212) 5752779";"Clínica Razzetti, Ps. 1, Cons. 35 Bellas Artes Caracas, Venezuela";"Servicios Medicos Especializados"
"IBARRA R., CARLOS A. DR.";"";"Tel: (58) (212) 2761964";"Tv. 6, Altamira Caracas, Venezuela";"Servicios Medicos Especializados"
"CASA DR. SCHOLL EL PARAÍSO";"";"Tel: (58) (212) 4724053";"Av. Páez, El Paraíso Caracas, Venezuela";"Servicios Medicos Especializados"
"FARMACIA PUERTO ALEGRE";"";"Tel: (58) (281) 2812440";"Av Princ., Cc Puerto Alegre Lecherías, Venezuela";"Servicios Medicos Especializados"
"ESTRADA HELIO";"";"Tel: (58) (243) 2453379";"Av. 19 de Abril Maracay, Venezuela";"Servicios Medicos Especializados"
"ZAMBRANO M., HUBERT A. DR.";"";"Cel.: (58) 7040552";"Celular San Cristóbal, Venezuela";"Servicios Medicos Especializados"
"BATONI HILDA DE, DRA";"";"Tel: (58) (212) 7627560";"Av. Libertador, Edif. Angostura Consultorio 3-A, La Campiña Caracas, Venezuela";"Servicios Medicos Especializados"
"VERA TOLEDO JORGE L";"";"Tel: (58) (212) 7540017";"C.C. Coroní Módulo B, Ofic. B22 Caurimare, Cnas De Bello Monte Caracas, Venezuela";"Servicios Medicos Especializados"
"HERNANDEZ S., RUBEN DR.";"";"Tel: (58) (212) 9854633";"Ctro. Profesional Santa Paula Torre A, Const. 66-A Caracas, Venezuela";"Servicios Medicos Especializados"
"JURADO, CARMEN";"";"Tel: (58) (212) 9919335";"El Cafetal C. Méd Infantil El Cafetal Caracas, Venezuela";"Servicios Medicos Especializados"
"LECHIN, FUAD DR.";"";"Tel: (58) (212) 5749953";"Centro Clínico Profesional Caracas Av. Panteón San Bernardino Caracas, Venezuela";"Servicios Medicos Especializados"
"BARRADAS M, ECJOYSTER";"";"Cel.: (58) 6510448";"Barquisimeto Barquisimeto, Venezuela";"Servicios Medicos Especializados"
"SARDI B., JOSE R. DR.";"";"Tel: (58) (212) 7627560";"Av. Libertador, La Campiña Caracas, Venezuela";"Servicios Medicos Especializados"
"DBEISS M., MARIANA DE";"";"Tel: (58) (212) 5762615";"Av. Este 2, La Candelaria Caracas, Venezuela";"Servicios Medicos Especializados"
"CEQUEDA, CAROLINA DRA.";"";"Tel: (58) (243) 2450923";"Calicanto , Maracay Maracay, Venezuela";"Servicios Medicos Especializados"
