"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"REPUESTOS CANAIMA, C.A.";"";"Tel: (58) (261) 5523411";"Av.Elias Cordero Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS LA ABUELA, C.A.";"";"Tel: (58) (261) 2633854";"Cl.30 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO ELECTRICOS COCODRILO C.A.";"";"Tel: (58) (261) 2622537";"Av.16 De Septiembre Lc.50-15 Planta Baja Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTOCOLOR, C.A.";"";"Tel: (58) (273) 9280052";"Local No 0-620 Ct.Nacional Los Laureles Socopo, Venezuela";"Repuestos Para Camionetas"
"DR CAR, C.A.";"";"Tel: (58) (261) 7982103";"Calle 67, Maracaibo Maracaibo, Venezuela";"Repuestos Para Camionetas"
"FIMOTOR C.A.";"";"Tel: (58) (212) 2342121";"los Ruices Caracas, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS Y MAQUINARIAS C.A. REMACA";"";"Tel: (58) (261) 5523552";"Av. Industrial Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS MAURY";"";"Tel: (58) (261) 7717072";"Cl 4, Lagunitas Maracaibo, Venezuela";"Repuestos Para Camionetas"
"SERVICIO TÉCNICO VENCAR C.A.";"";"Tel: (58) (212) 2373648";"1ra. Av. Con 4ta. Transversal, Urb. Montecristo, Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"VICTOR EXPEDITION, C.A.";"";"Tel: (58) (261) 7977338";"Cl.67 La Estrella Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS RAMON, C.A.";"";"Tel: (58) (261) 2634822";"Av.16 De Septiembre Maracaibo, Venezuela";"Repuestos Para Camionetas"
"C.A. BRICEÑO Y DEL OLMO";"";"Tel: (58) (261) 2715003";"Av.Andrés Bello, Tapias Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS REYCAR";"";"Tel: (58) (261) 7980063";"Las Delicias Maracaibo, Venezuela";"Repuestos Para Camionetas"
"PROYECTOS ANPED C.A.";"";"Tel: (58) (261) 3567351";"Cl.1 No.2-52 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS WALTER";"";"Tel: (58) (261) 3477768";"Cl.5 No.8-146 La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"TU CARRO";"";"Tel: (58) (241) 5148767";"Cl Silva No. 138-67 Local C A Media Cuadra Del palacio De Justicia Valencia, Venezuela";"Repuestos Para Camionetas"
"EMBRAGUES RINCONSA, C.A.";"";"Tel: (58) (261) 7234357";"Cl.102b No.103-132 La Pomona Maracaibo, Venezuela";"Repuestos Para Camionetas"
"INVERCIONES DUNMAT";"";"Tel: (58) (261) 2523279";"Cl.30 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"MAPPHERSON MONROE, C.A.";"";"Tel: (58) (261) 3479020";"Cr.2 Barrio El Carmen No.11-73 La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS DINAMITA, C.A.";"";"Tel: (58) (212) 2216702";"Av.30 Montalban Caracas, Venezuela";"Repuestos Para Camionetas"
"CARROCERIAS EURO PARTS, C.A.";"";"Tel: (58) (261) 7975614";"Entre Cl.75 -76 No.75-30 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS TOYOANDES, C.A.";"";"Tel: (58) (261) 2636842";"Av.Pulido Mendez Pie Del Llano Maracaibo, Venezuela";"Repuestos Para Camionetas"
"LA CASA DEL CROCHE";"";"Telefax: (58) (243) 2360302";"Av Fuerzas Aéreas, Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"LA NUEVA CASA DEL REPUESTO, C.A.";"";"Tel: (58) (271) 2256359";"Av.6 Con Calle Edf.Monte Virgen Valera, Venezuela";"Repuestos Para Camionetas"
"LA CASA DE LAS MICAS";"";"Tel: (58) (241) 8780437";"Vía Flor Amarillo Zona Ind. El Recreo Centro C.P.I Galpón 28, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"AUTOMOTRIZ DON SOCORRO";"";"Tel: (58) (261) 7831502";"Cl.85 Las Delicias Maracaibo, Venezuela";"Repuestos Para Camionetas"
"SUPER REPUESTOS DELICIAS, C.A.";"";"Tel: (58) (261) 5115902";"Av.15 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO LUJO MARACAIBO C.A.";"";"Tel: (58) (261) 7590241";"Av.Las Delicias Maracaibo, Venezuela";"Repuestos Para Camionetas"
"ITAL PARTS, C.A.";"";"Tel: (58) (261) 7974651";"Cl.67 Cecilio Acosta Entre Av.10-11 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS USADOS BIJUMU, C.A.";"";"Tel: (58) (274) 2830325";"Via Trasandina L.Llanitos De Tabay Tabay, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS PINTO";"";"Tel: (58) (271) 2252208";"Av.4 Los Bambúes Valera, Venezuela";"Repuestos Para Camionetas"
"CHAM MOTORS, C.A.";"";"Tel: (58) (261) 8812511";"Av. Bolivar Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO ACCESORIOS RPM CARS SHOP";"";"Telefax: (58) (245) 5649411";"Cl Lovera C.C San Agustín Local No. 4, Guacara Guacará, Venezuela";"Repuestos Para Camionetas"
"RESPUESTO ESPAVENCA, C.A.";"";"Tel: (58) (255) 6223312";"Av. Pricipal 24 de julio Acarigua, Venezuela";"Repuestos Para Camionetas"
"DIREASIA DE VENEZUELA, C.A.";"";"Tel: (58) (261) 2698195";"Av.Intercomunal Maracay- Tumero Maracaibo, Venezuela";"Repuestos Para Camionetas"
"CONCESIONARIOS HONDA DE VENEZUELA";"";"Tel: (58) (261) 7231911";"Av 4 Bella Vista, No. 84-136, Edo Zulia 4002, Maracaibo Maracaibo, Venezuela";"Repuestos Para Camionetas"
"EIS CONTINENTAL, H.R. C.A. REPUESTOS";"";"Tel: (58) (212) 8643250";"Avenida Sucre (Frente Al Parque Del Oeste), Catia - Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"AUTO PARTES PERE FORD, C.A.";"";"Tel: (58) (251) 4465757";"Carrera 19 Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS CACIQUE GUAICAIPURO, C.A. (VOLKSWAGEN)";"";"Tel: (58) (241) 8317369";"Valencia, Edo. Carabobo Valencia, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS EL LLANO S.R.L.";"";"Tel: (58) (261) 2524472";"Av.3 Entre 30-31 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"EURO CARS, C.A.";"";"Tel: (58) (261) 7980285";"Av.Delicias 84-125 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS CEDEÑO, S.R.L.";"";"Tel: (58) (241) 8319862";"Aut. Campo Carabobo La Guacamaya Valencia, Venezuela";"Repuestos Para Camionetas"
"RADELCA";"";"Tel: (58) (265) 6626336";"Av.Intercomunal Ciudad Ojeda, Venezuela";"Repuestos Para Camionetas"
"DEVICMAN C.A";"";"Tel: (58) (244) 4472819";"Cl Providencia C/C Av Bolívar Sector Centro Edif. Algarbe Local 4, Cagua Cagua, Venezuela";"Repuestos Para Camionetas"
"LUBRIPARTES, C.A.";"";"Tel: (58) (261) 7563187";"Grano De Oro Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO RADIADORES LA NUEVA ERA";"";"Tel: (58) (271) 2251172";"Av. Cementerio Valera, Venezuela";"Repuestos Para Camionetas"
"SANTIAGO ROJAS C.A.";"";"Tel: (58) (265) 6413263";"Ciudad Ojeda Av.Intercomunal Ciudad Ojeda, Venezuela";"Repuestos Para Camionetas"
"AGROINDOCCA";"";"Tel: (58) (261) 7314353";"San Cristóbal Suc Maracaibo Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO PERIQUITOS MERIDA";"";"Tel: (58) (261) 2527651";"Cl.31 Centro Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS EL 13 C.A.";"";"Tel: (58) (261) 2366205";"Av.Mendoza Maracaibo, Venezuela";"Repuestos Para Camionetas"
"CASA VADI SAN CRISTOBAL C.A.";"";"Tel: (58) (261) 3466541";"Av.19 De Abril, La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS ALBORNOZ C.A.";"";"Tel: (58) (274) 2830065";"Calle Principal Los Llanitos De Taby Tabay, Venezuela";"Repuestos Para Camionetas"
"INTERCAR, C.A.";"";"Tel: (58) (212) 7873155";"Zona Ind. Ureña Caracas, Venezuela";"Repuestos Para Camionetas"
"FIAT NEVOLA REPUESTOS C.A";"";"Tel: (58) (243) 5546171";"Cl Páez Oeste No. 187 Entre Campo Elias Y Ayacucho Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"LA PARADA DEL HIDROMATICO";"";"Tel: (58) (241) 8350277";"Cl Escalona Entre Rangel Y Silva, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS CORNELY, C.A.";"";"Tel: (58) (261) 7464884";"Av.Miranda Casa 6-129 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"RELOMAS REPUESTOS "LAS LOMAS",C.A.";"";"Tel: (58) (261) 3477520";"La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"CATERPILLAR";"";"Tel: (58) (235) 2764541";"Av Rolando No. 168, Edif. Tractonorte Barcelona, Edo Anzoategui Chaguaramas, Venezuela";"Repuestos Para Camionetas"
"AUTOPARTES Y SERVICIOS LAMBO C.A.";"";"Tel: (58) (261) 7974854";"Av.15 Las Delicias Edif.Lambo Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTOLUJOS Y POLARIZADOS C.A.";"";"Tel: (58) (261) 7710343";"Cr.11 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPRESENTACIONES EURO JAPON C.A.";"";"Tel: (58) (261) 7219389";"La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS ORIÓN, C.A.";"";"Tel: (58) (212) 4721567";"Calle 1, Bella Vista, Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS LA CUATRO, C.A.";"";"Telefax: (58) (271) 2310268";"Avenida 4 Valera, Venezuela";"Repuestos Para Camionetas"
"AUTO ACCESORIOS TURBO CARS";"";"Tel: (58) (261) 7710879";"Carrera 6 C/Calle 2 No 5-73 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS EURO KOREA C.A";"";"Telefax: (58) (243) 2475868";"Av Ayacucho C/C Santos Michelena A 100 Mts Av Bolívar, Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS CARS HAS C.A";"";"Tel: (58) (242) 3642435";"Av La Paz C.C Guayas Del centro Urb. La Sorpresa Local 3, Cl Servicio Puerto Cabello, Venezuela";"Repuestos Para Camionetas"
"RINES Y CAUCHOS DE IMPACTO";"";"Tel: (58) (261) 3470034";"Cr.7 No.4-121 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO PERIQUITOS MOTOCAR C.A.";"";"Tel: (58) (261) 2529193";"Milla Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO RESPUESTOS FIATMAR S.R.L";"";"Tel: (58) (243) 2320302";"Av Constitución Entre Cl 12 Y 15 Sector San José Urb. La Barraca Maracay, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS ELI, C.A.";"";"Tel: (58) (275) 8818686";"Av.15 El Vigía El Vigía, Venezuela";"Repuestos Para Camionetas"
"AGRO MACK C.A.";"";"Tel: (58) (251) 8083811";"Av.Libertador Cl.19 Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS TOMASO C.A";"";"Tel: (58) (241) 8359140";"Urb. Cabriales Av 114-91-T-65, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS ANGEL CARS, C.A.";"";"Tel: (58) (261) 7880424";"Av.69 Gallo Verde Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS 2005";"";"Tel: (58) (261) 7517949";"La Limpia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO AVENIDA MILENIUM C.A";"";"Tel: (58) (243) 5511419";"Cl Carabobo Maracay, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS ALFREDO 2000 C.A";"";"Tel: (58) (243) 2371163";"Av Constitución Este No. 175 Fte. A Toyomaya, Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS ZARAGOZA";"";"Tel: (58) (261) 7519098";"Cl.72 C/Av 16 No.26-16 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS COMPETENCIA";"";"Tel: (58) (261) 7423296";"Av.6 Altos De Jalisco Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTO BONINO CABINAS, C.A.";"";"Tel: (58) (261) 2415377";"Av.Intercomunal Maracaibo, Venezuela";"Repuestos Para Camionetas"
"TONY MOTORS, C.A.";"";"Tel: (58) (261) 2639973";"Av.16 De Septiembre Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS DON JORGE";"";"Tel: (58) (276) 3565816";"Av.Los Agustinos San Cristóbal, Venezuela";"Repuestos Para Camionetas"
"AUTO CAUCHOS ANDES";"";"Tel: (58) (261) 2663153";"La Pedregosa Maracaibo, Venezuela";"Repuestos Para Camionetas"
"ZURCA VALENCIA C.A";"";"Tel: (58) (241) 8590834";"Cl Ricaurte Entre Av Lara Y Cl Girardot No. 96-48 Sector San Blas, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"AGROREPUESTOS DEL CAMPO";"";"Tel: (58) (283) 5150976";"Av Prolong España El Tigre, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS LO HERMANOS";"";"Tel: (58) (276) 7712610";"Av.Venezuela San Antonio del Táchira, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS J SAYAGO, C.A.";"";"Tel: (58) (276) 7872346";"Símon Bolivar - Ureña Ureña, Venezuela";"Repuestos Para Camionetas"
"REDIAUTO C.A";"";"Telefax: (58) (241) 8359919";"Av Lisandro Alvarado C.C Torinoco Locales No. 93-25 Y 93-29, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS EL PALITO C.A.";"";"Tel: (58) (261) 5323742";"Av.Elias Cordero Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AGRO - DIESEL SUC.1";"";"Tel: (58) (261) 7367408";"Av. Panamericana No.8-70 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS MEDIA LUNA";"";"Telefax: (58) (241) 8483208";"Av 93 C/C 73 Edif Media Luna Barrio El Carmen Sur, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS DAVID, C.A.";"";"Tel: (58) (261) 7591966";"Av.15, Las Delicias Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTO CRAZY C.A.";"";"Tel: (58) (212) 7536776";"Colinas De Bello Monte - Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS KIOTO";"";"Tel: (58) (261) 7985767";"Tierra Negra Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS EL PADRINO, C.A.";"";"Tel: (58) (261) 2661686";"Av.Los Proceres Maracaibo, Venezuela";"Repuestos Para Camionetas"
"MULTI HIDROMÁTICOS NACIONAL";"";"Tel: (58) (276) 3467834";"Carrera 6, Bis N³5-125, La Concordia San Cristóbal, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS PALERMO";"";"Tel: (58) (261) 7568452";"Av.91, La Limpia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"DISTRIBUIDORA GUARICO C.A";"";"Tel: (58) (235) 3416091";"Av Las Industrias Salida Hacia El Socorro, Valle De La Pasua Valle de la Pascua, Venezuela";"Repuestos Para Camionetas"
"UNIPARTES DE OCCIDENTE";"";"Tel: (58) (251) 7370448";"La Concordia Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"DR BOOM CAR AUDIO";"";"Tel: (58) (241) 8256582";"Av Carlos Sanda A 50 Mts Del Elevado El Viñedo, Valencia Valencia, Venezuela";"Repuestos Para Camionetas"
"EL HIDROMÁTICO DE VALENCIA, C.A.";"";"Tel: (58) (241) 8581065";"Av. Branger, C.C. Hl Land, Loc. B Michelena Valencia, Venezuela";"Repuestos Para Hidroeléctricas"
"REPUESTOS HIDROMÁTICOS LOS CEDROS, S.R.L";"";"Tel: (58) (243) 2463498";"La Libertad Maracay, Venezuela";"Repuestos Para Hidroeléctricas"
"RESMATIC, C.A.";"";"Tel: (58) (241) 8591830";"Calle Comercio, C.C. Campo Elías Valencia, Venezuela";"Repuestos Para Hidroeléctricas"
"CENMATIC, C.A.";"";"Tel: (58) (243) 2344545";"Zona Ind San Jacinto Bomba Bitagas Maracay, Venezuela";"Repuestos Para Hidroeléctricas"
"HIDROMATICOS GILBERTO, S.R.L";"";"Tel: (58) (243) 2465565";"Cl. Los Cedros, Barrio Lourdes Maracay, Venezuela";"Repuestos Para Hidroeléctricas"
"HIDROMÁTICOS REPUESTOS EL FORTIN, C.A.";"";"Tel: (58) (243) 8313579";"Calle Michelina C/C Briseño Mélendez Local 91-2 Maracay, Venezuela";"Repuestos Para Hidroeléctricas"
"BARCO RECONSTRUCCIONES AGRO- INDUSTRIAL, C.A";"";"Tel: (58) (251) 2667007";"Autopista Vía Quibor, Km 5 y 6 Barquisimeto, Venezuela";"Repuestos Para Máquinas De Escribir"
"INVERSIONES &SERVICIOS IC";"";"Tel: (58) (261) 7834411";"Av. 28, La Limpia Maracaibo, Venezuela";"Repuestos Para Máquinas De Escribir"
"BASCULAS IDERNA";"";"Tel: (58) (276) 4157777";"San Cristobal San Cristóbal, Venezuela";"Resortes"
"RESUDCA RESORTES";"";"Tel: (58) (212) 2346870";"4Ta. Transversal, Boleita Sur Caracas, Venezuela";"Resortes"
"VIRA, C.A.";"";"Tel: (58) (212) 3437208";"Zona Ind. Puente Real Caracas, Venezuela";"Resortes"
"RESORTES UNIVERSALES, C.A.";"";"Tel: (58) (212) 3727291";"Ct. Panamericana, Km.17 Carrizal Carrizal, Venezuela";"Resortes"
"DISCARVEN, C.A.";"";"Tel: (58) (212) 4220583";"Km.16, Araguaney El Junquito Caracas, Venezuela";"Resortes"
"IDERNA DE VENEZUELA C.A.";"";"Tel: (58) (276) 7873011";"Cl.18, Zona Ind. Ureña Ureña, Venezuela";"Resortes"
"RESORTES Y DERIVADOS METÁLICOS, C.A.";"";"Tel: (58) (243) 5516448";"Cl. E, Galpón No.88 Maracay, Venezuela";"Resortes"
"RESORTES Y AFINES, C.A.";"";"Tel: (58) (241) 8590175";"San Blas, Valencia Valencia, Venezuela";"Resortes"
"RESORA C.A.";"";"Tel: (58) (243) 2342786";"Av Constitución Maracay, Venezuela";"Resortes"
"RINSUCA RINES Y SUSPENSIONES, C.A.";"";"Tel: (58) (241) 8534531";"La Candelaria Valencia, Venezuela";"Resortes"
"MENCHU INVERSIONES, C.A.";"";"Tel: (58) (251) 4469236";"Av. Romulo Gallegos Barquisimeto, Venezuela";"Resortes"
"REGIVENCA C.A.";"";"Tel: (58) (241) 8724766";"Ur. Complejo Los Jerales, Av.La Plaza Manzana Mc 3. Paecela No.15 San die go- Edo Carabobo Valencia, Venezuela";"Resortes"
"REME, C.A.";"";"Tel: (58) (264) 3716401";"Av. Intercomunal, Las 5 Bocas Cabimas, Venezuela";"Resortes"
"RESTAURANT KOTO SUSHI";"";"Tel: (58) (261) 7988954";"Av. 11 Entre Calles 75 y 76 Maracaibo, Venezuela";"Restaurantes"
"THE GREAT CAT";"";"Tel: (58) (212) 2383809";"Av. Ppal. De Los Cortijos, Frente A La Nueva Sede De El Nacional Caracas, Venezuela";"Restaurantes"
"II. CAFFE";"";"Tel: (58) (265) 6317021";"ojeda Ciudad Ojeda, Venezuela";"Restaurantes"
"FU LAI WAH RESTAURANT Y BAR C.A.";"";"Tel: (58) (261) 3563028";"Urb. Pueblo Nuevo, Calle España, Edif. 0-80 Maracaibo, Venezuela";"Restaurantes"
"LA POSADA DEL HIDALGO";"";"Tel: (58) (286) 9316094";"Av. Guayana La Frontera Ciudad Guayana San Félix, Venezuela";"Restaurantes"
"COFFE CENTER C.A.";"";"Tel: (58) (281) 9622367";"Paseo Caroní Barcelona, Venezuela";"Restaurantes"
"RISTORANTE IL BRIGANTINO";"";"Tel: (58) (212) 9517387";"Hotel Las Americas Final Av. Casanova, Sabana Grande Caracas, Venezuela";"Restaurantes"
"RESTAURANT Y PIZZERÍA DA GENEROSO";"";"Tel: (58) (242) 3645256";"Av Ppal, Cumboto Norte, Puerto Cabello Puerto Cabello, Venezuela";"Restaurantes"
"TYROL HAUS RESTAURANT, C.A.";"";"Tel: (58) (212) 6290363";"Ct Nacional Ortiz Caracas, Venezuela";"Restaurantes"
"TIBERIUS, C.A.";"";"Tel: (58) (241) 8213379";"La Alegría, Valencia Valencia, Venezuela";"Restaurantes"
"PIU PASTA";"";"Tel: (58) (243) 2320311";"C.C. Las Américas, Maracay Maracay, Venezuela";"Restaurantes"
"FUENTE DE SODA RESTAURANT HOYO 19";"";"Tel: (58) (243) 2425841";"Hotel Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANTE TRATTORIA ROMANA II, C.A.";"";"Tel: (58) (241) 8235059";"Av Bolívar Nte, Carabobo, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANTE LA GRILLADE, C.A.";"";"Tel: (58) (241) 8239656";"Av Bolívar, Local 200-10 El Viñedo, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANT CHURCHILL";"";"Tel: (58) (243) 2427343";"Av Las Delicias, La Floresta, Maracay Maracay, Venezuela";"Restaurantes"
"MANGO TANGO";"";"Tel: (58) (241) 8234031";"C.C. Mediterraneo Plaza Sabana Larga, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANT CANEY EL TURPIAL";"";"Tel: (58) (243) 2326565";"San Agustín, Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANT CACHAPERA ALL YEAR";"";"Tel: (58) (242) 3621674";"Cl Municipio, Puerto Cabello Puerto Cabello, Venezuela";"Restaurantes"
"GANADERO GRILL RESTAURANT TURISTICO, C.A.";"";"Tel: (58) (251) 2542089";"Ct. Vja. Bqto. Vía Yaritagua Barquisimeto, Venezuela";"Restaurantes"
"EL ARAGUANEY PARRILLADA, C.A.";"";"Telefax: (58) (251) 2666821";"Barquisimeto Barquisimeto, Venezuela";"Restaurantes"
"DOÑA BÁRBARA RESTAURANTE";"";"Tel: (58) (241) 8250735";"Avda 104 (Las Delicias) Nú 1-37-A-70 El Viñedo, Valencia Detrás Del C.C. Camoruco Valencia, Venezuela";"Restaurantes"
"BAR RESTAURANT CENTRO SOCIAL CHINO VALENCIA";"";"Tel: (58) (241) 8421677";"Urb La Trigaleña, Nú 95-84, Velancia, Venezuela Valencia, Venezuela";"Restaurantes"
"BANZAI SUSHI, C.A.";"";"Tel: (58) (261) 7986364";"Maraciabo Maracaibo, Venezuela";"Restaurantes"
"EL VAGÓN LIBANÉS";"";"Tel: (58) (241) 8258164";"Av Mons Adams, El Viñedo, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANT IL BIZANTINO C.A.";"";"Tel: (58) (274) 3437838";"Carrera 11, Entre Calles 9 y 10 Mérida, Venezuela";"Restaurantes"
"IL FORNAIO RISTORANTE";"";"Tel: (58) (243) 2328643";"Av L Delicias, La Soledad, Maracay Maracay, Venezuela";"Restaurantes"
"BAR & RESTAURANT TABURIENTE";"";"Tel: (58) (243) 2675741";"Cl Bolívar, Nro. 68 Centro, Palo Negro Palo Negro, Venezuela";"Restaurantes"
"LA CASITA DE FONDUE, C.A.";"";"Tel: (58) (244) 3551402";"Sector La Tejerias, Colonia Tovar Colonia Tovar, Venezuela";"Restaurantes"
"MOSAICO'S RESTAURANT";"";"Tel: (58) (243) 2328443";"Al Bosque, Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANT Y MARISQUERÍA SOCO, S.R.L.";"";"Tel: (58) (244) 3211690";"Esquina El Soco Av Fco Loreto, La Victoria La Victoria, Venezuela";"Restaurantes"
"RESTAURANT EL PORTÓN DE LA ABUELA, C.A.";"";"Tel: (58) (243) 2427191";"Cruce Con Calle Cecilio Acosta Diagonal A Central Madeirense Av Las Delicias La Rinconada, Maracay Maracay, Venezuela";"Restaurantes"
"AUTO POLLO BERMUDEZ, C.A.";"";"Tel: (58) (243) 2345376";"Av Bermúdez, Barrio Lourdes, Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANT BAMBÚ";"";"Tel: (58) (241) 8241177";"Sn, El Viñedo, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANT PIANO BAR EL PEZ DORADO";"";"Tel: (58) (243) 2323246";"C.C. La Soledad, Las Delicias, Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANTE PERUANO MARISQUERIA C.A.";"";"Tel: (58) (261) 7981513";"Esq. Calle 69 Nro. 69-07 Maracaibo, Venezuela";"Restaurantes"
"RESTAURANTE Y PIZZERÍA DA DOMENICO";"";"Tel: (58) (243) 2473353";"Av Miranda Oeste, Maracay Maracay, Venezuela";"Restaurantes"
"DISTRIBUIDORA PACK & FOOD C.A.";"";"Tel: (58) (241) 8575203";"Av Boyacá Entre Rondón Y Vargas Nú 103-54, Valencia, Edo. Carabobo Valencia, Venezuela";"Restaurantes"
"ANGUS GRILL RESTAURANT";"";"Tel: (58) (261) 7989593";"Av. 13 Con Calle 69A-14, Tierra Negra Maracaibo, Venezuela";"Restaurantes"
"BAR RESTAURANT LA TASCA DE OURO";"";"Tel: (58) (212) 5714876";"Av. Las Industrias, Esq. De Puente Anauco La Candelaria Caracas, Venezuela";"Restaurantes"
"RESTAURANT EL HOSTAL DE PEPE, C.A.";"";"Tel: (58) (244) 4477857";"Ct Nacional, Cagua Cagua, Venezuela";"Restaurantes"
"BAR RESTAURANT EL GALEÓN, C.A.";"";"Tel: (58) (241) 8243082";"Detrás De Imgeve, Av Mda, Valencia Valencia, Venezuela";"Restaurantes"
"RESTAURANT DOÑA PICATIERRA, C.A.";"";"Tel: (58) (269) 2528902";"Cr. 25 C/C 10 Punto Fijo, Venezuela";"Restaurantes"
"VILLA MADRID";"";"Tel: (58) (243) 2461993";"Av 19 De Abril, Maracay Maracay, Venezuela";"Restaurantes"
"TASCA RESTAURANT EL BODEGÓN DE SEVILLA";"";"Tel: (58) (243) 2427914";"Av Las Delicias, Maracay Maracay, Venezuela";"Restaurantes"
"RESTAURANT LA PAELLA VALENCIANA";"";"Tel: (58) (243) 2377775";"Av Miranda Este, San Agustín, Maracay Maracay, Venezuela";"Restaurantes"
"AFUBAR C.A";"";"Tel: (58) (243) 2365483";"Av. Los Cedros Centro Maracay, Venezuela";"Restaurantes"
"POLO Y RIVAS";"";"Tel: (58) (241) 8339652";"Av Henry Ford, La Isabelica, Valencia Valencia, Venezuela";"Restaurantes"
"ANDY EXPRESS";"";"Tel: (58) (257) 2510611";"Cr. 5ta. E/Cl 17 y 18 Guanare, Venezuela";"Restaurantes"
"SELL SERVICE MEDITERRANEO FOOD, C.A.";"";"Tel: (58) (269) 6213445";"Calle 32 Avenida 25 y 26 Prolongación De Avenida Páez, Acarigua, Edo. Por tuguesa Punto Fijo, Venezuela";"Restaurantes"
