"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"VERATEX C.A";"";"Tel: (58) (212) 4712459";"Av Ppal La Yaguara Caracas, Venezuela";"Ropa Interior Y Lenceria"
"CREACIONES MARIANNA, C.A.";"";"Tel: (58) (212) 5641125";"Cují A Salvador De León Edif. Bolivar, Sótano, Local 2 Catedral Caracas, Venezuela";"Ropa Interior Y Lenceria"
"ALI KARI C.A.";"";"Tel: (58) (273) 5335265";"Av. Sucre, entre Calles Mérida y Cruz Paredes, Barinas Barinas, Venezuela";"Ropa Interior Y Lenceria"
"TEXTILERA SANSON C.A";"";"Tel: (58) (212) 8605448";"Esq. Puerta De Caracas Edif. Sanson,Pb Local 193-1 Caracas Caracas, Venezuela";"Ropa Interior Y Lenceria"
"LA TIENDA DEL BLUMER";"";"Tel: (58) (293) 4314184";"Av. Bermúdez, Edf Don Ramon Cumaná, Venezuela";"Ropa Interior Y Lenceria"
"COMERCIAL EL MANÈ SRL";"";"Tel: (58) (274) 2526784";"Av 3 Mérida, Venezuela";"Ropa Interior Y Lenceria"
"LADY LING INTIMA";"";"Tel: (58) (241) 8675771";"C.C. La Granja, Loc C-23. Av. La Universidad Valencia, Venezuela";"Ropa Interior Y Lenceria"
"IMPORTADORA LOULI";"";"Tel: (58) (212) 6316877";"Av Ppal El Cementerio Caracas, Venezuela";"Ropa Interior Y Lenceria"
"LENCERIAS CRISTAL II, C.A";"";"Tel: (58) (212) 7538568";"Centro Polo I Caracas, Venezuela";"Ropa Interior Y Lenceria"
"INDUSTRIAL REGAL C.A";"";"Tel: (58) (212) 3830245";"Via Corralito Carrizal Caracas, Venezuela";"Ropa Interior Y Lenceria"
"PERSIANAS Y CORTINAS JOSEFINA I.C.A.";"";"Tel: (58) (212) 5520639";"Esq.Mirador, La Candelaria Caracas, Venezuela";"Ropa Interior Y Lenceria"
"CLENNY MODA & DISEÑO";"";"Tel: (58) (276) 3567033";"Barrio Obrero San Cristóbal, Venezuela";"Ropa Interior Y Lenceria"
"CORPORACIÓN ATOM, C.A.";"";"Tel: (58) (212) 5644461";"Pelota A Abanico Edif. Don Joaquin Caracas Caracas, Venezuela";"Ropa Interior Y Lenceria"
"MERENGADA, C.A.";"";"Tel: (58) (295) 2619767";"Entre Cerdeño y Marcano Porlamar, Venezuela";"Ropa Interior Y Lenceria"
"EDRENODES FEMENINA";"";"Tel: (58) (274) 2622578";"Av. Las Americas Mérida, Venezuela";"Ropa Interior Y Lenceria"
"CONFECCIONES CLAUDETTE'S, C.A.";"";"Tel: (58) (212) 4615401";"Av. San Martín, San Martín Caracas, Venezuela";"Ropa Interior Y Lenceria"
"TOUCHE LINGERIE";"";"Tel: (58) (212) 9921289";"Torre Diamen, P.B., Local 5, Chuao Caracas, Venezuela";"Ropa Interior Y Lenceria"
"COPROMANE";"";"Tel: (58) (295) 2646349";"Cl.Marcano E/S Raf. y Día, 50 Mtrs antes de la Clínica Chico Sanabria Porlamar, Venezuela";"Ropa Interior Y Lenceria"
"COMERCIALIZADIRA CAMPANITA";"";"Tel: (58) (251) 2334331";"Carr 22 con Cll 25 CC Cosmos Local 2A12 Barquisimeto, Venezuela";"Ropa Interior Y Lenceria"
"IMPORTADORA DEL BLUMER, C.A.";"";"Tel: (58) (243) 2330559";"Av. Miranda Este Nú 60, Edif Tonsav P.B., Local 1 Maracay, Venezuela";"Ropa Interior Y Lenceria"
"EL PALACIO DEL BLUMER";"";"Tel: (58) (291) 6438031";"Av. Miranda, Nro. 123 Maturín, Venezuela";"Ropa Interior Y Lenceria"
"BIG BLUMER";"";"Tel: (58) (212) 2665662";"Av. Fco. De Miranda, Dentro Del Centro Peru Pb. Local 14-A, Chacao Caracas, Venezuela";"Ropa Interior Y Lenceria"
"CREACIONES JOSMARLUIS, C.A.";"";"Tel: (58) (281) 2650957";"Cl. Democracia Ctro. Rabit, Piso 2 Puerto de  la Cruz, Venezuela";"Ropa Interior Y Lenceria"
"LENCEMUNDO, S.A";"";"Tel: (58) (212) 5628294";"San Jose-Caracas Caracas, Venezuela";"Ropa Interior Y Lenceria"
"GRANFOULARD, C.A";"";"Tel: (58) (212) 9851995";"Av L Guajira, Santa Paula Caracas, Venezuela";"Ropa Interior Y Lenceria"
"HEART`S DELIGHT";"";"Tel: (58) (286) 9624421";"Av.Paseo Caroni,C.C. Naraya Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Ropa Interior Y Lenceria"
"GRUPO ALFA";"";"Tel: (58) (212) 9593972";"C.C.C.T Tr B P. 12, Of. 1207, Chuao Caracas, Venezuela";"Ropa Interior Y Lenceria"
"DISEÑOS ELVIGEN, C.A.";"";"Tel: (58) (243) 2377616";"La Barraca Maracay, Venezuela";"Ropa Interior Y Lenceria"
"CUBRECAMAS JACOBSEN";"";"Tel: (58) (212) 2859989";"2da Av Los Palos Grandes Caracas, Venezuela";"Ropa Interior Y Lenceria"
"CANNON";"";"Tel: (58) (212) 8721871";"Cl Bolivar Catia Caracas, Venezuela";"Ropa Interior Y Lenceria"
"FAJAS MEDICAS INTERNACIONAL.";"";"Tel: (58) (261) 8420800";"C-61 Av. Universidad Entre Av. 9-9b # 10-105 Maracaibo, Venezuela";"Ropa Interior Y Lenceria"
"CAMPRE";"";"Tel: (58) (261) 7868653";"C.C Jacaranda Locales 2-3 Y 4 Maracaibo, Estado Zulia. Circunvalación 2 Maracaibo, Venezuela";"Salvavidas"
"VENECIA SHIP SERVICE, C.A.";"";"Tel: (58) (242) 3618711";"Cl Comercio Nro.2, Puerto Cabello Puerto Cabello, Venezuela";"Salvavidas"
"SCREEN ZONE, C.A.";"";"Tel: (58) (212) 2384959";"Los Chorros - Caracas Caracas, Venezuela";"Screen"
"SOLUCIONES ELECTRO SCREEN C.A";"";"Tel: (58) (212) 2342253";"Cll. B La Carlota Ed. Central Sot 1 Caracas, Venezuela";"Screen"
"SCREEN PRINTING DE VENEZUELA, C.A.";"";"Tel: (58) (241) 8353616";"Av Andres Bello C/C Brzual La Candelaria Valencia, Venezuela";"Screen"
"SECRETARIADO COMERCIAL SANTO DOMINGO SABIO";"";"Tel: (58) (212) 6811757";"Coche Caracas, Venezuela";"Secretariado Comercial"
"VIAS Y SEÑALES S.A.S.";"viasysenalessas@hotmail.com";"Cel.: (58) 3105081306";"Atiende en El Espinal desde su sede principal en Pereira El Espinal, Venezuela";"Señalización"
"INDUSTRIAL DISOSA C.A.";"";"Tel: (58) (212) 8720977";"México, Catía Caracas, Venezuela";"Señalización"
"INVERSIONES SEÑALÉTICA URBANA C.A.";"";"Tel: (58) (212) 7310094";"Av. El Empaime, Qta. Maroa, El Bosque, Caracas 1050 - Venezuela Caracas, Venezuela";"Señalización"
"CENTRUM DIGITAL";"";"Telefax: (58) (286) 9238492";"Vía Colombia, Mz.22 Local 02, Villa Colombia Ciudad Guayana San Félix, Venezuela";"Señalización"
"CALCOMANÍAS U.V, C.A.";"";"Tel: (58) (212) 2434428";"Cl. , La Urbina Caracas, Venezuela";"Señalización"
"EXTINTORES MEDANOS, C.A.";"";"Tel: (58) (243) 2710241";"C.I. El Carmen Santa Rita Maracay, Venezuela";"Señalización"
"S'BAS PUBLICIDAD C.A.";"";"Tel: (58) (212) 2423053";"1a Urbina Caracas, Venezuela";"Señalización"
"MULTIPLAST C.A.";"";"Tel: (58) (212) 7303790";"Qt. Autana, Av. Don Bosco La Florida Caracas, Venezuela";"Señalización"
"TRAFFIC VIAL, C.A. TRAVICA";"";"Tel: (58) (274) 2716155";"Av. Andres Bello Mérida, Venezuela";"Señalización"
"PUBLICIDAD ZENSA PZ5 C.A.";"";"Tel: (58) (212) 3313051";"Av. Navarrete A Buena Vista, Maiquetía Caracas, Venezuela";"Señalización"
"SEÑALVEN C.A.";"";"Telefax: (58) (212) 2838740";"Cl. Acueducto, Qta. Orquidea Sebucán Caracas, Venezuela";"Señalización"
"GRABOSEÑAL PUBLICIDAD, C.A.";"";"Tel: (58) (212) 7513630";"Av Leonardo Da Vinci, C.C. Bello Monte, Piso 11 Ofc E (Frente A Ciudad Banesco) Colinas De Bello Monte, Caracas Caracas, Venezuela";"Señalización"
"AGIL PUBLICIDAD";"";"Tel: (58) (261) 2525534";"Maracaibo Maracaibo, Venezuela";"Señalización"
"GRUPO CS DE VENEZUELA C.A.";"";"Tel: (58) (212) 2387748";"Av. Rómulo Gallegos, Edf. Vista P.6 Lc. 6-2 Horizonte Caracas, Venezuela";"Señalización"
"ESCALA INGENIEROS, C.R.L.";"";"Tel: (58) (212) 4723472";"Urb. Bella Vista Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"POTARECA - PODA TALA Y REFORESTACIÓN C.A";"";"Tel: (58) (212) 4618760";"Av. Washington C.R.E.P Torre 4b No 31 Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"FRÍO ELECTRIC 2005, C.A.";"";"Tel: (58) (212) 9515093";"Chacaíto Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"INDUSTRIAS AIR CAM 2000, C.A.";"";"Telefax: (58) (212) 8602989";"Catía Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AGRO CYCAS DE VENEZUELA C.A";"";"Tel: (58) (212) 9637271";"Caracas El Hatillo Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ZEMERATH";"";"Tel: (58) (212) 7539782";"Av.Ppal.Bello Monte, C.C.Bello Monte, Mezz.1, Ofic.12 Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AG AUTOMATISMOS GENTILE, C.A.";"";"Tel: (58) (212) 2672434";"Cl. Sucre, Res. Chacao, Local 4 - Chacao - Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AUTOSERVICIO LOS PORTONES";"";"Tel: (58) (268) 2518961";"Cl. Monzón, Cabudare Coro, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"LA CASA DEL HORFEBRE LH";"";"Tel: (58) (212) 5632468";"Esq. San Enrique con Sta. Ines San José Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"EMCAR";"";"Telefax: (58) (261) 7357634";"Km 2 1/2 Carretera Aperija C.C. Campo Sur Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"FRIO SISTEMAS C.A.";"";"Telefax: (58) (212) 2434584";"Carretera Petare - Sta. Lucía, Sector Barrio Bolívar, Casa No. 5687, Petare Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"V P S REFRIGERACIÓN INDUSTRIAL, C.A.";"";"Tel: (58) (212) 2639718";"Cl Monseñor Juan Grilc Edf, Los Milagros B, Local A Chacao Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"VIDRIOS ALUM";"";"Tel: (58) (212) 9446761";"Cl. Mirabal, Baruta Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MANTENIMIENTO AUTOMOTRIZ LA 50, C.A.";"";"Tel: (58) (251) 4454478";"Cr. 21 E/Cl 49-50 Barquisimeto, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"OLEOVENCA";"";"Tel: (58) (261) 7360697";"Maracaibo Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TECNISERVICIOS COLDEST, C.A.";"";"Tel: (58) (212) 2383838";"Av Rómulo Gallegos, Torres De Ugar Torre Oeste, P.B, Local G Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"INFORCAL";"";"Tel: (58) (241) 8588346";"Av Cedeño Valencia, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"HOLISTICO MANTENIMIENTO C.A";"";"Tel: (58) (212) 3627156";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ITACA INGENIEROS Y TÉCNICOS ASOCIADOS C.A.";"";"Tel: (58) (212) 2385811";"Cl. E, Edif. Spefar, Noleíta Norte, Caracas Venezuela Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TECNI-DINA, C.A.";"";"Tel: (58) (212) 2677262";"Campo Alegre Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AUTOMATISMO DEL MORO IZQUIERDO, C.A.";"";"Tel: (58) (212) 7626926";"Sabana Grande, Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CUTISERVI AIRE ACONDICIONADO Y REFRIGERACIÓN C.A.";"";"Tel: (58) (212) 3523193";"Paseo La Marina, No. 1000 Catía La Mar Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PLOMERIA LEON RC, C.A.";"";"Tel: (58) (212) 7930602";"Cl. Zulia Maripérez, Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICIOS D©INNOVACION C.A.";"";"Tel: (58) (295) 2642502";"Cl. Colina, Genovés Porlamar, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CONSORCIO COINTECA C.A.";"";"Tel: (58) (212) 9512691";"Av.Abraham Lincoln, Chacaito Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"GRUPO AUTOPARTS";"";"Tel: (58) (212) 8681887";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"INSTALACIONES MECÁNICAS APLICADAS, C.A.";"";"Tel: (58) (212) 7622721";"Cl Villaflor, Sabana Grande Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"REFORESTACIONES HERMANOS RODRIGUEZ C.A";"";"Tel: (58) (212) 7632768";"Av. Venezuela Bello Monte Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TECNO FUEGO";"";"Tel: (58) (261) 7978434";"Maracaibo Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICIO TÉCNICO EQUIPOS DE OFICINA";"";"Tel: (58) (273) 5522666";"Av. Montilla, Barinas Barinas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TONER Y SERVICIOS";"";"Tel: (58) (276) 3561541";"Calle 9 Con Crs. 18 Y 19, Nro. 18-19 Barrio Obrero, San Cristóbal San Cristóbal, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICOLOR, C.A.";"";"Tel: (58) (271) 2212348";"Av. Independencia, Edif. P N L, Loc B, La Plata I, Valera Valera, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"COLD SERVICE AIRE ACONDICIONADO, C.A.";"";"Tel: (58) (212) 5621494";"San Ramón A Canónigos, Edif. Salim, Sótano 3, San José 1010 Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MULTISERVICIOS J M G S";"";"Tel: (58) (212) 8991228";"Av La Estancia, C.C.C.T, Piso 9, Ofic. 909A, Urb. Chuao Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"INPROFUEGO, C.A.";"";"Tel: (58) (251) 2375427";"Barquisimeto Barquisimeto, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ALFATEC REPRESENTACIONES C.A.";"";"Tel: (58) (212) 4320787";"Caricuao Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"LA CASA DEL QUEMADOR";"";"Tel: (58) (212) 6901574";"Av. Los Laureles C/Av. Nueva Granada Y Plaza Tiuna, Los Rosales Frente A Estación Metro La Bandera Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"LARKIN - PRODUCTOS QUÙMICOS";"";"Tel: (58) (212) 9513882";"Cl. Guaicaipuro con Mohedano, Torre Hener Piso 3 Of. 3A Loc.2 El Rosal Ca racas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICIOS TEMPLEXI LG, C.A.";"";"Tel: (58) (212) 2639714";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PLATERIA NIELA, C.A.";"";"Tel: (58) (212) 9634945";"El Hatillo, Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ALRUSZ ELECTRONICS, CA";"";"Tel: (58) (212) 2561986";"Av Principal Macaracuay Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CAPRELEM SERVICIOS C.A";"";"Tel: (58) (212) 9597321";"Av La Estancia Chuao Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MAX DOOR PUERTAS AUTOMÈTICAS";"";"Tel: (58) (212) 5320615";"Carr. Petare - Sta. Lucia, Km. 10 Zona Inds. Las Tapias, GalpÊn B4 Filas de Mariche Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"HERRERÍA PABON 5000 C.A";"";"Tel: (58) (212) 5733718";"Cl. Real De Sarría, Local 160-4 Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICIOS ALTO PRADO HJ, C.A.";"";"Tel: (58) (212) 5777076";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AGRO REPUESTOS M.M., C.A.";"";"Tel: (58) (246) 8715640";"Cl. San Fernando De Apure Calabozo , Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"DINAMO DISTRIBUIDORA NACIONAL DE MOTORES";"";"Tel: (58) (212) 2853811";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"VOLTAMPER C.A.";"";"Tel: (58) (212) 3629167";"Urb. Ind. El Rereo Cl. La Guairita N. E2 Ent. por Guayabal Apdo. 24 Guare nas, 1212 Edo. Miranda Guarenas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"JARDIN EL ARAGUANEY C.A.";"";"Tel: (58) (261) 7579651";"Al Lado del Centro Comercial El Sambil Sector Canchancha Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PROSERVI TEC, S.R.L.";"";"Tel: (58) (261) 7595662";"Las Delicias, Maracaibo Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"AIR CONTROL I C.A.";"";"Telefax: (58) (212) 8621463";"Gobernador A Zapatero, Galpón No. 55, La Pastora Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CENTRO DE COPIADO 23 DE ENERO, C.A.";"";"Tel: (58) (273) 5332485";"Av. 23 De Enero, Barinas Barinas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TÉCNICA RUEDA, C.A.";"";"Tel: (58) (243) 2563908";"Principal, Maracay Maracay, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MULTISERVICIOS Y BIENES BRUNO, C.A.";"";"Tel: (58) (212) 7540197";"Av. Motatan, Qta. Chinita, Colinas de Bello Monte, Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PLOMEROS S.O.S. PLOMERÍA EN GENERAL";"";"Tel: (58) (212) 7312113";"Cl. San José, Chapellín Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SERVICIOS CLEAN AIR, C.A.";"";"Tel: (58) (212) 9918906";"Cl Taborda, San Román Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MOTOREPS C.A.";"";"Tel: (58) (271) 4463658";"Av. p. Leon Torres con calle 52 Valera, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CONTREX SERVICIOS C.A.";"";"Tel: (58) (212) 4420896";"Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"DUCTO LIMPIO C.A.";"";"Tel: (58) (212) 6900220";"Av Madariaga, Los Chaguaramos Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ACONDICIONAMIENTO Y MANTENIMIENTO AMBIENTAL";"";"Tel: (58) (212) 6324069";"Cl E Probreso, Los Rosales Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ITALCLIMA, S.A.";"";"Tel: (58) (255) 6226622";"Avenida 35 Acarigua, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"HERTEC C.A";"";"Tel: (58) (212) 9915397";"Av. Ppal Santa Rosa De Lima Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"FORMIPUERTA, C.A.";"";"Tel: (58) (212) 6939163";"Av. El Parque, Plaza Tiuna, Quinta Milagros, P.A. Los Rosales Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CENTRO SUPERIOR DE ESTUDIOS";"";"Tel: (58) (283) 2354690";"Casco Viejo, Calle Sucre El Tigre, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CAUCHOS ROYAL MÉRIDA, C.R.L.";"";"Tel: (58) (274) 2663855";"Av. Andrés Bello, Mérida Mérida, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"MANTENIMIENTO SEMAHINST, C.A.";"";"Telefax: (58) (212) 2377883";"Cl B. Edif. Luis Alfredo Local Unico, P.B., Los Ruices Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"SUPLIDORES REGIONALES, C.A.";"";"Tel: (58) (261) 7536772";"C.C. Las Tunas, Local 6, Pb, Maracaibo Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"COVILCA AIRE ACONDICIONADO";"";"Tel: (58) (251) 4453064";"Cruce con Calle 52. Carrera 19 Barquisimeto, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"KVA GENERATOR, C.A.";"";"Tel: (58) (212) 3124526";"Av. Pedro Russo Ferrer, C.C. Vasconia, PB Local L-43 Sector El Tambor Los Teques, Edo. Miranda Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"OFICINA TÉCNICA FETTA";"";"Tel: (58) (212) 3637320";"Cl Ricaurte Guarenas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"INSTAIRA, S.A.";"";"Tel: (58) (212) 5729145";"San Agustín Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"KORRENTI S.R.L.";"";"Tel: (58) (261) 7927434";"Av. 4, Bella Vista, e/Cls. 76 y 77, Edif. Ctro. Prof. Villa Consuelo, P.B Maracaibo, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PUERTAS AUTOMÈTICAS VARELA, C.A.";"";"Telefax: (58) (212) 7812825";"Av. Ppal. de MaripÉrez ente 7a y 8a. Transvs. Qta. Tania, Caracas Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"LUMENCA MANTENIMIENTO INTEGRAL";"";"Tel: (58) (212) 7313031";"Av Libertador Centro Profesional Libertador OF 11-B Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"PERTOLDI RODOLFO";"";"Tel: (58) (281) 2693855";"Sector La Delicias Puerto de  la Cruz, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"ZIEPA,C.A.";"";"Tel: (58) (212) 9599047";"Cubo Negro, Chuao Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"GRUPO DESDE TU JARDIN C.A";"";"Tel: (58) (212) 6617502";"Cl. Semprum Qta Yamile Santa Mónica Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"CORPORACION ADC C.A.";"";"Tel: (58) (212) 2574577";"Av San Francisco Torre La California P 7 Of 7-K Urb Las Colinas De La Cal ifornia Caracas, Venezuela";"Servicio De Reparacion Y Mantenimiento Profesional"
"TV CABLE, C.A.";"";"Tel: (58) (272) 2364771";"Av. Bolívar Centro Prof. Gonsa Pb Local 1, Trujillo Trujillo, Venezuela";"Servicios De Television"
"UNICABLE";"";"Tel: (58) (295) 2424290";"Los Almendrones La Asunción, Venezuela";"Servicios De Television"
"INVERSIONES PUERTO AYACUCHO SATELITAL, C.A.";"";"Tel: (58) (248) 5215789";"Av. Perimetral, Edif, Caroni Urb. El Paraiso Puerto Ayacucho, Venezuela";"Servicios De Television"
"PARABÓLICAS VENEZOLANAS, C.A.";"";"Tel: (58) (277) 2911650";"Centro Colón, Venezuela";"Servicios De Television"
"SATMANTV, C.A.";"";"Tel: (58) (212) 7516669";"Cnas De Bello Monte Caracas, Venezuela";"Servicios De Television"
"GALASERVICE";"";"Tel: (58) (212) 7823661";"Maripérez Caracas, Venezuela";"Servicios De Television"
"INTERCABLE";"";"Tel: (58) (285) 6328134";"C Machado Entre Av. Pichincha y Paseo Meneses Ciudad Bolivar, Venezuela";"Servicios De Television"
"RUMBA 89 7 VALERA FM";"";"Tel: (58) (271) 2210421";"Cl. Bolívar, Trujillo, Valera Valera, Venezuela";"Servicios De Television"
"ERIMEE SISTEMAS C.A";"";"Tel: (58) (212) 4625672";"San Martín Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"REPRESENTACIONES PRINT SOFT C.A";"";"Tel: (58) (212) 5766727";"12 De Febrero Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"LABORATORIO TÉCNICO ELECTRONICO NUEVA GRANADA";"";"Tel: (58) (212) 4847118";"Quinta Crespo Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"DIGINET SERVICIOS C.A";"";"Tel: (58) (212) 8618689";"Altagracia Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"COMPU SUPPLY";"";"Tel: (58) (212) 3396010";"Cl Principal Lagunetica, Los Teques Los Teques, Venezuela";"Servicios Informaticos A Domicilio"
"CORPORACIÓN MULTIMEDIA";"";"Tel: (58) (212) 7621170";"Sabana Grande Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"MINI TIENDA";"";"Tel: (58) (212) 3238170";"El Llano, Los Teques Los Teques, Venezuela";"Servicios Informaticos A Domicilio"
"CORPORACIÓN VENAMICRO C.A";"";"Tel: (58) (212) 2391434";"Av Fco De Miranda C.C Puerta Del Este L-21 La California Norte, Caracas Caracas, Venezuela";"Servicios Informaticos A Domicilio"
"A LANSYSTEM COMPUTER S.R.L";"";"Tel: (58) (212) 7616828";"Cl El Colegio Edif Cl Real 92 Piso 2 Sabana Grande Caracas, Venezuela";"Servicios Informaticos A Domicilio"
