"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"INVERSIONES GRAFICAS CEPOYM, C.A.";"";"Tel: (58) (281) 2656846";"Av. La Esperanza, Pto La Cruz Puerto de  la Cruz, Venezuela";"Publicidad Y Agencias En General"
"CUADRA CREATIVA";"";"Tel: (58) (295) 2627516";"Av.Prolongacion 4 De Mayo, Urb. Los Robles, Centro Empresarial Mercury,P B Porlamar, Venezuela";"Publicidad Y Agencias En General"
"SERPHOMASTER, C.A.";"";"Tel: (58) (212) 8645130";"Sc. La Pastora Caracas, Venezuela";"Publicidad Y Agencias En General"
"IMAGEN GRAFICA C.A";"";"Tel: (58) (241) 8586359";"Calle 24 de Junio Valencia, Venezuela";"Publicidad Y Agencias En General"
"DIROTS DIGITAL C.A";"";"Tel: (58) (243) 8337405";"Zona Ind La Isabelica,Avenida 73 A No 81A Parcela H2 detras de eloccident Maracay, Venezuela";"Publicidad Y Agencias En General"
"EVENTOS PUBLISERVICE C.A.";"";"Tel: (58) (261) 6317765";"Av. Cristobal Colon, Diagonal a la Policia Municipal Ciudad Ojeda, Edo. Z ulia Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"DTC DIRECT TO CUSTOMER";"";"Tel: (58) (212) 9856992";"Av. Circunvalación del Sol, Ctro. Prof. Santa Paula, Torre A Piso 9 Of.94 Santa Paula, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"VIGO PUBLICIDAD & SERVICIOS";"";"Tel: (58) (286) 9231191";"Carrera El Aripao, Edif. Los Portugueses Loc. 2 Ciudad Guayana Puerto Ordaz, Venezuela";"Publicidad Y Agencias En General"
"FOTO PLANET";"";"Tel: (58) (212) 2852770";"Edif. Santa Rosa P.B. Loc. A Caracas, Venezuela";"Publicidad Y Agencias En General"
"PUBLICIDAD ZENSA PZ5 C.A.";"";"Tel: (58) (212) 3313051";"Av. Navarrete A Buena Vista, Maiquetía Caracas, Venezuela";"Publicidad Y Agencias En General"
"FUSION GRAFICA DIGITAL, C.A.";"";"Tel: (58) (212) 3419447";"Zona Ind. El Marquéz Guatire Guatire, Venezuela";"Publicidad Y Agencias En General"
"SEÑALVEN C.A.";"";"Telefax: (58) (212) 2838740";"Cl. Acueducto, Qta. Orquidea Sebucán Caracas, Venezuela";"Publicidad Y Agencias En General"
"PUBLICIDAD JAICA C.A.";"";"Tel: (58) (212) 6820932";"Cl. 2 El Valle Caracas, Venezuela";"Publicidad Y Agencias En General"
"CREATIVE TV, C.A.";"";"Tel: (58) (212) 2867130";"Av F de Miranda, El Rosal Caracas, Venezuela";"Publicidad Y Agencias En General"
"PAPER GRAPHIC PUBLICIDAD";"";"Tel: (58) (243) 8583985";"Centro-Valencia Maracay, Venezuela";"Publicidad Y Agencias En General"
"GRAPHICS COLOR'S ROTULADO, C.A.";"";"Tel: (58) (251) 7170844";"Av. 20 E/Cl 39 y 40 Barquisimeto, Venezuela";"Publicidad Y Agencias En General"
"INVERGRAFIC PUBLICIDAD";"";"Tel: (58) (251) 6117304";"Cr 28 Entre Calles 8 y 9 Frente a Resd. El Trapiche Barquisimeto, Venezuela";"Publicidad Y Agencias En General"
"PUBLICIDAD FLAMINGO";"";"Tel: (58) (251) 4412980";"Carrera 6 con Calle 6, Zona Industrial II. Edif. Flamingo, Barquisimeto, Venezuela";"Publicidad Y Agencias En General"
"AVIS.O.S. MEDIO EXTERIOR, C.A.";"";"Telefax: (58) (251) 2518775";"Carrera 19, Esq. Cl. 13 Barquisimeto, Venezuela";"Publicidad Y Agencias En General"
"CENTRO DE COPIADO INTEGRAL";"";"Tel: (58) (212) 5775232";"Parque Central Edif Anauco Nivel Lecuna L 40 Y 56 Caracas, Venezuela";"Publicidad Y Agencias En General"
"ARQUITECTURA Y CONSTRUCCION INTEFRAL, C.A.";"";"Tel: (58) (281) 2670221";"Av. Municipal Puerto de  la Cruz, Venezuela";"Publicidad Y Agencias En General"
"EXTINTORES MEDANOS, C.A.";"";"Tel: (58) (243) 2710241";"C.I. El Carmen Santa Rita Maracay, Venezuela";"Publicidad Y Agencias En General"
"AMERICANA DE PAPELES,C.A.";"";"Tel: (58) (243) 2420445";"La arboleda-Maracay Maracay, Venezuela";"Publicidad Y Agencias En General"
"QUADRA GRÁFICA 35, C.A.";"";"Tel: (58) (212) 2711262";"El Marqués Caracas, Venezuela";"Publicidad Y Agencias En General"
"PUBLIPOP,C.A.";"";"Tel: (58) (243) 8218210";"Av Bolivar,Norte c. Profecional Majay piso 6 oficina 62 valencia Maracay, Venezuela";"Publicidad Y Agencias En General"
"CMYK COLOR DIGITAL, C.A.";"";"Tel: (58) (212) 2427577";"Cl. 11 La Urbina, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"SOL COMUNICACIONES, C.A.";"";"Tel: (58) (212) 5760972";"Esq. Anauco, Edif. Cámara De Industriales, Piso 3, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"SK MARACAIBO, C.A.";"";"Tel: (58) (261) 7173632";"Av. Dr. Portillo, entre Avs. 17 y 18, Maracaibo Edo. Zulia Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"PROSEÑAL, C.A.";"";"Tel: (58) (261) 7920112";"Calle 74 con Av 3d, La lago Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"INVERSIONES SAN ANTONIO 2021 C.A";"";"Tel: (58) (276) 7712826";"Cr 11 No. 5-64 San Antonio del Táchira, Venezuela";"Publicidad Y Agencias En General"
"GRAFICAS VALLE VERDE, C.A.";"";"Tel: (58) (212) 3096014";"Caracas, Imprenta Caracas, Venezuela";"Publicidad Y Agencias En General"
"INVERSIONES AKR C.A.";"";"Fax: (58) (212) 6936568";"Av La Facultad, Los Chaguaramos Caracas, Venezuela";"Publicidad Y Agencias En General"
"INDUSTRIAL DISOSA C.A.";"";"Tel: (58) (212) 8720977";"México, Catía Caracas, Venezuela";"Publicidad Y Agencias En General"
"DISTRIBUIDORA PUBLIGALGO 2000, C.A.";"";"Tel: (58) (212) 2467838";"Cl. Calle Junín, Lourdes Caracas, Venezuela";"Publicidad Y Agencias En General"
"TREVISI PUBLICIDAD";"";"Tel: (58) (261) 3447441";"Zona Industrial Puente Real Galpon 13 San Cristobal Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"TOTAL SIGN C.A.";"";"Telefax: (58) (212) 2578889";"Calle Los Caciques C/C Torondoy, Esq. Sta Rita, Local 2, El Llanito, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"SIGN MEDIOS";"";"Tel: (58) (212) 7541050";"Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"ARCLAD DE VENEZUELA";"";"Tel: (58) (212) 2488745";"Zona Ind. Chara Galpon 4 Charallave, Edo Miranda Caracas, Venezuela";"Publicidad Y Agencias En General"
"ACID GRAFIC";"";"Tel: (58) (241) 8256865";"Calle 137,Prebo Valencia, Venezuela";"Publicidad Y Agencias En General"
"CARLOS TORRES GRAPHIC DESIGN & PUBLICITY C.A.";"";"Tel: (58) (212) 8708824";"Catia Caracas, Venezuela";"Publicidad Y Agencias En General"
"RORAIMEX C.A";"";"Tel: (58) (212) 7818876";"Las Palmas Caracas, Venezuela";"Publicidad Y Agencias En General"
"LA CASA DEL PRODUCTOR";"";"Tel: (58) (281) 2699480";"Calle Esperanza,Local 49-C Puerto de  la Cruz, Venezuela";"Publicidad Y Agencias En General"
"MULTIMEDIOS STAR, C.A.";"";"Tel: (58) (212) 9938557";"Cl. parís con New York - Las Mercedes Caracas, Venezuela";"Publicidad Y Agencias En General"
"MUNDO PUBLICITARIO MEDANAL C.A.";"";"Tel: (58) (212) 7615891";"Sabana Grande Caracas, Venezuela";"Publicidad Y Agencias En General"
"STUDIO C.A.";"";"Tel: (58) (212) 9795497";"Edif. La Pirámide, Piso 4. Ofic. 406 Av. Río Caura, Parque Humboldt Prados Del Este, Caracas 1080 Caracas, Venezuela";"Publicidad Y Agencias En General"
"ETNIGRAFIC, C.A.";"";"Tel: (58) (212) 9852292";"Circunvalación del Sol El Cafetal Caracas, Venezuela";"Publicidad Y Agencias En General"
"ESTUDIO A GRABACIONES DIGITALES ESCUELA SONIDO PROFESIONAL";"";"Tel: (58) (212) 9631536";"La Florida Caracas, Venezuela";"Publicidad Y Agencias En General"
"DANNY BALLONS";"";"Tel: (58) (212) 9935043";"Las Mercedes - Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"ES-PUBLICIDAD";"";"Tel: (58) (243) 2672732";"Cl. Gran Democrata Palo Negro, Venezuela";"Publicidad Y Agencias En General"
"FORMA Y FUNCIÓN";"";"Tel: (58) (212) 2831860";"C. Plaza, Torre A Of. 12-D, Los Palos Grandes Caracas, Venezuela";"Publicidad Y Agencias En General"
"NEON FIGURA, C.A.";"";"Tel: (58) (295) 6425030";"Prolg Rojas Sur,Mdo Nuevo Porlamar, Venezuela";"Publicidad Y Agencias En General"
"TRUESIGNS C.A.";"";"Tel: (58) (212) 7156640";"Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"SR3 PRODUCCIONES Y VIDEO C.A";"";"Tel: (58) (212) 2831932";"Sebucán Caracas, Venezuela";"Publicidad Y Agencias En General"
"FULLCOLOR";"";"Tel: (58) (251) 2326926";"Av. 20, entre Calle 28 y 29 Barquisimeto, Venezuela";"Publicidad Y Agencias En General"
"LITOGRAFIA JANNIER C.A.";"";"Tel: (58) (261) 7561368";"Amparo Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"CASA MUÑOZ";"";"Tel: (58) (278) 3321110";"Calle Sucre Guasdualito, Venezuela";"Publicidad Y Agencias En General"
"STYLE OCCIDENTE, C.A.";"";"Tel: (58) (261) 7513586";"Cl.89d, Nueva Vía Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"EDDY'S FOTO";"";"Tel: (58) (212) 2647061";"Cl. Paez, Chacao Caracas, Venezuela";"Publicidad Y Agencias En General"
"BELLMOR, C.A.";"";"Tel: (58) (212) 5738465";"Calle Sanchez, Qta Bellmor Detrás Antigua O.C.P. Santa Rosa, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"OPPENHEIMER DIGITAL STUDIOS";"";"Tel: (58) (212) 2397197";"Los Ctjos De Lourdes Caracas, Venezuela";"Publicidad Y Agencias En General"
"EXPLORART C.A";"";"Tel: (58) (212) 9591062";"Chuao Caracas, Venezuela";"Publicidad Y Agencias En General"
"PONY UNIFORMES C.A.";"";"Tel: (58) (212) 4811249";"Esq. Miracielos, Santa Teresa Caracas, Venezuela";"Publicidad Y Agencias En General"
"GRABACERO DE VALENCIA, C.A.";"";"Tel: (58) (241) 8582629";"Av. Andrés Eloy Blanco Los Colorados Valencia, Venezuela";"Publicidad Y Agencias En General"
"PUBLILAR, C.A.";"";"Tel: (58) (261) 7911327";"Entre Don Bosco Y La Lago Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"DE ARTE GRAFICA";"";"Tel: (58) (241) 5545697";"Valencia Valencia, Venezuela";"Publicidad Y Agencias En General"
"PUBLICIDAD EXTERIOR A1";"";"Tel: (58) (212) 3811254";"Las Flores, El Ingenio, Guatire Guatire, Venezuela";"Publicidad Y Agencias En General"
"PLAZA GRAFICA, C.A.";"";"Tel: (58) (281) 2822258";"Calle 5,C.C. Pza. Colonial Lecherías, Venezuela";"Publicidad Y Agencias En General"
"BANDERAS CARLOS DUQUE";"";"Tel: (58) (212) 3229546";"Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"OFICINA TÉCNICA GEOSOFT, C.A.";"";"Tel: (58) (212) 7617448";"To Alto Ctro, P.12, Ofc. 12-C Caracas, Venezuela";"Publicidad Y Agencias En General"
"CORPORACIÓN CAPI, C.A.";"";"Tel: (58) (212) 2423877";"Cl. 1-2, Edif. Cyanamid, Piso 2 Ofic. 21-24, La Urbina Caracas, Venezuela";"Publicidad Y Agencias En General"
"CARACAS POP CREATIVA";"";"Tel: (58) (212) 6156755";"Av. 2, Buena Vista, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"INVERSIONES YAR YUR";"";"Tel: (58) (212) 3736194";"Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"LOREAL PUBLICIDAD, C.A.";"";"Tel: (58) (212) 2396716";"Av. Las Palmas, con 3ra. Transv. Galpón No. 37, Final Callejon Boleitá S Caracas, Venezuela";"Publicidad Y Agencias En General"
"PYROCREW VENEZUELA";"";"Tel: (58) (212) 2804667";"Cl. Naiguata Macaracuay Caracas, Venezuela";"Publicidad Y Agencias En General"
"LEONARDO ROJAS FOTOGRAFÍA CREATIVA, C.A.";"";"Tel: (58) (241) 8237271";"Av Bolívar Nte., Valencia Valencia, Venezuela";"Publicidad Y Agencias En General"
"MD SERVICE, C.A.";"";"Tel: (58) (261) 7925258";"Bella Vista Maracaibo, Venezuela";"Publicidad Y Agencias En General"
"ONLY SIGNS, C.A.";"";"Tel: (58) (281) 2815466";"Cl. 6 Con Carrera 8,Lecheria Lecherías, Venezuela";"Publicidad Y Agencias En General"
"ADUANERA RAPICAR, C.A.";"";"Tel: (58) (212) 4817589";"El Paraiso Caracas, Venezuela";"Publicidad Y Agencias En General"
"INNOVATING ADVERTISING C.A.";"";"Tel: (58) (212) 4825547";"Av. Los Samanes Edif Innovating No. 17, El Paraiso, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"FULL FUEGOS DE VENEZUELA";"";"Tel: (58) (212) 7318229";"La Florida Caracas, Venezuela";"Publicidad Y Agencias En General"
"PRODUCTORAS SUNSET CINEMA C.A";"";"Tel: (58) (212) 9934597";"Las Mercedes Caracas, Venezuela";"Publicidad Y Agencias En General"
"C & S PUBLICIDAD, C.A.";"";"Tel: (58) (212) 9598368";"Cl. La Estancia Urb. Chuao, Ccct, Nivel C-1 Ofi. M-30 Caracas, Venezuela";"Publicidad Y Agencias En General"
"ARTEK";"";"Telefax: (58) (212) 2350078";"Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"CONIDICA";"";"Tel: (58) (212) 5638177";"Abanico a Canónigos, Edif. Centro Importador Local 1 Altagracia, Caracas Caracas, Venezuela";"Publicidad Y Agencias En General"
"MADERAS TIUNA C.A";"";"Tel: (58) (212) 5145242";"Av Bolivar Sector Sucua Galpón No 159, Charallave Caracas, Venezuela";"Puertas Y Portones"
"CYMSA CALDERAS Y MANTENIMIENTO, S.A.";"";"Tel: (58) (241) 8320810";"Industrial Carabobo Valencia, Venezuela";"Quemadores"
"LA CASA DEL QUEMADOR";"";"Tel: (58) (212) 6901574";"Av. Los Laureles C/Av. Nueva Granada Y Plaza Tiuna, Los Rosales Frente A Estación Metro La Bandera Caracas, Venezuela";"Quemadores"
"TORNIPLAST";"";"Tel: (58) (276) 7872055";"Plaza Vieja Ureña, Venezuela";"Rectificadores"
"TECH SUPPORT, C.A.";"";"Tel: (58) (286) 9523189";"Centro Comercial aeropuerto, Piso 1 Local 7 Zona Industrial Unare I Ciudad Guayana San Félix, Venezuela";"Redes Y Comunicaciones"
"SUPER CYBER CAFÉ F & G C.A.";"";"Tel: (58) (265) 6511281";"Ct. E, Ciudad Ojeda Ciudad Ojeda, Venezuela";"Redes Y Comunicaciones"
"GMG SUPPLY CA";"";"Tel: (58) (212) 9531293";"Cl.Guaicaipuro, El Rosal Caracas, Venezuela";"Redes Y Comunicaciones"
"BTICINO";"";"Tel: (58) (261) 2873784";"Maracaibo Maracaibo, Venezuela";"Redes Y Comunicaciones"
"CARIBE 1027 FM PUERTO LA CRUZ";"";"Tel: (58) (281) 2674045";"Cl. Bolivar Pto L Cruz Puerto de  la Cruz, Venezuela";"Redes Y Comunicaciones"
"CONSOICA";"";"Tel: (58) (251) 2691565";"zona Industrial ll,Cr. 7,E/Cls. 1 y 4 Parcela 249 Barquisimeto, Venezuela";"Redes Y Comunicaciones"
"AWA GRUPO DE EMPRESAS, C.A.";"";"Tel: (58) (286) 9626557";"Alta Vista Ciudad Guayana San Félix, Venezuela";"Redes Y Comunicaciones"
"ARICYBER C.A.";"";"Tel: (58) (286) 9521174";"Zona Industrial Edif. Ori. Ob-1a Cl. Iripe Unare Ii Ciudad Guayana Puerto Ordaz, Venezuela";"Redes Y Comunicaciones"
"TELECURAZAO, C.A.";"";"Tel: (58) (257) 2530855";"Carrera 5ta, con calle 6 Guanare, Venezuela";"Redes Y Comunicaciones"
"LLAVANERAS IRUK CAFE";"";"Tel: (58) (289) 8088365";"Av Bolivar Sta Elena D Uairén Santa Elena de Uairén, Venezuela";"Redes Y Comunicaciones"
"DOMINIO DIGITAL, C.A.";"";"Tel: (58) (274) 2667374";"Cl. Chama, La Pedregosa Mérida, Venezuela";"Redes Y Comunicaciones"
"TELE PENTIUM C.A.";"";"Tel: (58) (212) 2574609";"Av. Ppal de Llanito Edf. San Remo PB Local 1 Caracas, Venezuela";"Redes Y Comunicaciones"
"CENTRO DE COMUNICACIONES VH PULEO";"";"Tel: (58) (274) 2663036";"C.C. Paseo Las Américas Mérida, Venezuela";"Redes Y Comunicaciones"
"FABRICA DE ACEITE REFINADO DE COCO C.A.";"";"Tel: (58) (294) 3322912";"CI. Monogas Carúpano, Venezuela";"Refilado"
"REGAL";"";"Tel: (58) (251) 3831687";"Carretera Panamericana Km. 21 Vía Corralito- Carrizal Barquisimeto, Venezuela";"Reglas"
"REMACHES UNITOP FIJACIONES INDUSTRIALES TÉCNICAS C.A.";"";"Tel: (58) (212) 2571077";"Caracas Caracas, Venezuela";"Remaches"
"INVERSIONES SUPREA, C.A.";"";"Telefax: (58) (261) 7539455";"C.C. Rodriguez, Local Interno Numero 9 Frente A Equipeca Maracaibo, Venezuela";"Remaches"
"TECNOFIX C.A";"";"Tel: (58) (212) 2574878";"Av. San Francisco Macaracuay Caracas, Venezuela";"Remaches"
"ARMAS EL TIGRE C.A.";"";"Tel: (58) (286) 9232001";"Centro Ciudad Guayana Puerto Ordaz, Venezuela";"Reparación De Armas"
"ARMERIA GUANARE, S.A.";"";"Tel: (58) (257) 2510122";"Carrera 5 E/Cl 12 y 13 Edif. Carlos Rodríguez P.B. Guanare, Venezuela";"Reparación De Armas"
"HR SERVICE C.A";"";"Telefax: (58) (241) 8246068";"Av Andrés Eloy Blanco, Santa Cecilia Valencia, Venezuela";"Reparación De Electrodomésticos"
"ALASERVICE C.A";"";"Tel: (58) (241) 6186803";"Parque Comercio Industrial Av Lisandro Alvarado Valencia, Venezuela";"Reparación De Electrodomésticos"
"REFRIREPUESTOS LOS CHAGUARAMOS C.A";"";"Tel: (58) (243) 2368442";"Cl 15 Urb El Piñonal Maracay, Venezuela";"Reparación De Electrodomésticos"
"INVEHOGAR MARACAY";"";"Tel: (58) (243) 2460444";"Av Ayacucho Maracay, Venezuela";"Reparación De Electrodomésticos"
"ING GLOBAL SERVICE";"";"Tel: (58) (212) 5782060";"Av. Lecuna, Parque Central Caracas, Venezuela";"Reparación De Electrodomésticos"
"TECNI-PLUS VALENCIA C.A";"";"Tel: (58) (241) 8716223";"Z.I El Castillo C.C Milán Center Piso 1 Local 18, Valencia Valencia, Venezuela";"Reparación De Electrodomésticos"
"BAZAR GALLEGO 2000 C.A.";"";"Telefax: (58) (212) 2669103";"Cl 3 Al Lado Sso, Chacao Caracas, Venezuela";"Reparación De Electrodomésticos"
"COMERCIAL TECNOLUX C.A";"";"Tel: (58) (286) 9616544";"C.C Santo Tomé III,ps.01,Loc.25 Los olivos Ciudad Guayana San Félix, Venezuela";"Reparación De Electrodomésticos"
"GLOBAL ELECTRONIC SOLUTIONS LC C.A";"";"Tel: (58) (243) 2472053";"Av 106 No. 14 Sector La Democracia Cerca De La Plaza San Juan, Maracay Maracay, Venezuela";"Reparación De Electrodomésticos"
"ELECTRONICA MAURO C.A.";"";"Tel: (58) (212) 6322413";"Av Nueva Granada Caracas, Venezuela";"Reparación De Electrodomésticos"
"COMERCIALIZADORA GEOMA C.A.";"";"Tel: (58) (212) 6933182";"Valle Abajo Caracas, Venezuela";"Reparación De Electrodomésticos"
"REFRIGERACION 23 DE ENERO";"";"Tel: (58) (291) 6424541";"Frente A Sanidad Los Bloques, Calle 12 No.205 Maturín, Venezuela";"Reparación De Electrodomésticos"
"AHARA SERVICIOS C.A.";"";"Tel: (58) (212) 7941887";"Av Libertador Cruce Con Av Panama Res Lido Mar Plaza Sotano 1 L 1, Los Ca obos Caracas, Venezuela";"Reparación De Electrodomésticos"
"ELECTROLUX COMERCIAL VENEZUELA C.A.";"";"Tel: (58) (212) 9931511";"Av Ppal De Las Mercedes Entre Cl Mucuchies Y Monterrey Edif Centro Arieda m Ph Las Mercedes Caracas, Venezuela";"Reparación De Electrodomésticos"
"REPUESTOS DEL HOGAR";"";"Tel: (58) (212) 2460767";"Av Bolivar Con Cl 9 No. 35, Charavalle Caracas, Venezuela";"Reparación De Electrodomésticos"
"INVERSIONES CAPITAL PLUS C.A.";"";"Tel: (58) (212) 2394930";"Cl Capitolio, Boleita Sur Caracas, Venezuela";"Reparación De Electrodomésticos"
"REFRIREPUESTOS SAN JUAN C.A.";"";"Tel: (58) (212) 4819792";"Maderero, San Juan Caracas, Venezuela";"Reparación De Electrodomésticos"
"PROVEEDURIA EL PUEBLO, C.A.";"";"Tel: (58) (212) 3371041";"Cl. Principal De Naiguatá Caracas, Venezuela";"Reparación De Electrodomésticos"
"AQUI SI HAY REPUESTOS C.A.";"";"Tel: (58) (212) 3639513";"CC Trapichito L 05 Detras Del Mercantil Guarenas, Venezuela";"Reparación De Electrodomésticos"
"VENESERVICIO LARA, C.A";"";"Tel: (58) (251) 2330028";"Carrera 19, E/ Cls 21 y 22 Barquisimeto, Venezuela";"Reparación De Electrodomésticos"
"SERVICIO TECNICO HIDALGO";"";"Tel: (58) (212) 2669249";"Av San Felipe Qta No 64 La Castellana Caracas, Venezuela";"Reparación De Electrodomésticos"
"DISTRIBUIDORA DE RODAMIENTOS Y REPUESTOS JESSIKA OMARFONS DIROREJO C.A";"";"Tel: (58) (291) 3152896";"Carrera 4 No. Antigua Cedeño No. 176 -1A Entre Av.Miranda y Calle Arriojas Maturin Edo. Monagas Maturín, Venezuela";"Reparación De Electrodomésticos"
"ELECTRONICA PLAZA 1";"";"Tel: (58) (212) 2622114";"Chacao Caracas, Venezuela";"Reparación De Electrodomésticos"
"COMERCIAL NACIONAL C.A";"";"Tel: (58) (235) 3422467";"Cl González Padrón Valle de la Pascua, Venezuela";"Reparación De Electrodomésticos"
"ROCA";"";"Tel: (58) (241) 8585219";"Av Boyacá Entre Comercio Y Girardot Al Lado De Cantv No. 102-24 Valencia, Venezuela";"Reparación De Electrodomésticos"
"A B X LOGISTICS VENEZUELA, C.A.";"";"Tel: (58) (212) 3316278";"Maiquetía Caracas, Venezuela";"Reparto De Correspondencia"
"FEDEX EXPRESS";"";"Tel: (58) (212) 2053333";"Av Ppal Colinas De Bello Monte Caracas, Venezuela";"Reparto De Correspondencia"
"PAKMAIL";"";"Tel: (58) (291) 6414958";"Av luis del Valle García Maturín, Venezuela";"Reparto De Correspondencia"
"DHL FLETES AEREOS C.A.";"";"Tel: (58) (212) 2056000";"Av Chicago, La California Caracas, Venezuela";"Reparto De Correspondencia"
"SHIPNET";"";"Tel: (58) (212) 9534260";"Centro Lido Caracas, Venezuela";"Reparto De Correspondencia"
"GRUPO POBA";"";"Tel: (58) (212) 2563993";"Av Chicago Centro Empresarial Sturgis P 3, La California Sur Caracas, Venezuela";"Reparto De Correspondencia"
"REPRESENTACIONES JOD EXPRESS C.A.";"";"Tel: (58) (212) 7616510";"Av Fco Solano, Sabana Grande Caracas, Venezuela";"Reparto De Correspondencia"
"UPS";"";"Tel: (58) (212) 4014900";"Caracas Caracas, Venezuela";"Reparto De Correspondencia"
"DOMICILIARIOS LA ISLA";"";"Tel: (58) (295) 2637557";"Av. Circunvalación Norte, Achipano Porlamar, Venezuela";"Reparto De Correspondencia"
"LETTER EXPRESS";"";"Tel: (58) (212) 6827222";"Carrt Panamericana Km 1 Edif Empresarial 2 P 1 Of A, Coche Caracas, Venezuela";"Reparto De Correspondencia"
"ASISTENTE VIRTUAL E.H.O. EXPRESS C.A.";"";"Tel: (58) (212) 9765294";"Av Rio Caura Prados Del Este Caracas, Venezuela";"Reparto De Correspondencia"
"GRUPO ZOMOS C.A.";"";"Tel: (58) (212) 3227846";"Los Teques Los Teques, Venezuela";"Reparto De Correspondencia"
"TRANSPORTES TACH & MER";"";"Tel: (58) (212) 5780683";"Av Rios A Vargas, San Agustin Caracas, Venezuela";"Reparto De Correspondencia"
"CICLO BIKE, C.A.";"";"Tel: (58) (212) 3711416";"Cl. M De Mijares, Sn A De Los Altos Local 21 San Antonio De Los Altos, Venezuela";"Repuestos Para Bicicletas"
"SPORT BICI KAFFE, C.A.";"";"Tel: (58) (212) 2352201";"Cl. Vargas Boleíta Norte Caracas, Venezuela";"Repuestos Para Bicicletas"
"SERVICICLISMO STORE, C.A.";"";"Tel: (58) (212) 6618718";"Av. T D La Parra, Sta. Mónica Caracas, Venezuela";"Repuestos Para Bicicletas"
"BICICLETAS MONTOYA, C.A.";"";"Tel: (58) (212) 8719385";"Av. Simon Bolívar Local 38, Catia Caracas, Venezuela";"Repuestos Para Bicicletas"
"BICICLETAS G & G SPORT, C.A.";"";"Tel: (58) (212) 4845232";"A Media Cuadra De R.C.T.V. Quinta Crespo, Edif. Bricasa 1 Caracas, Venezuela";"Repuestos Para Bicicletas"
